response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0102,0.0017,0.0011,0.0001,0.0083,0.0002,200,0.0758
0.0114,0.0018,0.0008,0.0001,0.0092,0.0001,200,0.0753
0.0110,0.0017,0.0011,0.0001,0.0092,0.0001,200,0.0758
0.0116,0.0014,0.0005,0.0001,0.0101,0.0000,200,0.0757
0.0119,0.0019,0.0005,0.0001,0.0097,0.0001,200,0.0754
0.0134,0.0010,0.0001,0.0001,0.0119,0.0001,200,0.0757
0.0138,0.0014,0.0005,0.0001,0.0120,0.0001,200,0.0756
0.0136,0.0015,0.0005,0.0000,0.0120,0.0000,200,0.0758
0.0141,0.0013,0.0004,0.0002,0.0123,0.0000,200,0.0754
0.0149,0.0016,0.0005,0.0001,0.0128,0.0001,200,0.0752
0.0151,0.0014,0.0008,0.0003,0.0131,0.0001,200,0.0752
0.0145,0.0015,0.0005,0.0001,0.0128,0.0001,200,0.0757
0.0147,0.0013,0.0005,0.0001,0.0132,0.0000,200,0.0756
0.0162,0.0017,0.0013,0.0000,0.0142,0.0001,200,0.0754
0.0523,0.0017,0.0005,0.0001,0.0504,0.0001,200,0.0758
0.0086,0.0000,0.0000,0.0000,0.0084,0.0001,200,0.1475
0.0094,0.0000,0.0000,0.0000,0.0092,0.0001,200,0.1472
0.0099,0.0000,0.0000,0.0000,0.0098,0.0001,200,0.1473
0.0101,0.0000,0.0000,0.0000,0.0100,0.0001,200,0.1474
0.0101,0.0000,0.0000,0.0000,0.0100,0.0001,200,0.1475
0.0101,0.0000,0.0000,0.0000,0.0099,0.0001,200,0.1476
0.0113,0.0000,0.0000,0.0000,0.0112,0.0001,200,0.1472
0.0117,0.0000,0.0000,0.0000,0.0116,0.0001,200,0.1474
0.0120,0.0000,0.0000,0.0000,0.0119,0.0001,200,0.1474
0.0121,0.0000,0.0000,0.0000,0.0120,0.0000,200,0.1473
0.0120,0.0000,0.0000,0.0000,0.0118,0.0000,200,0.1475
0.0128,0.0000,0.0000,0.0000,0.0124,0.0001,200,0.1472
0.0125,0.0000,0.0000,0.0000,0.0124,0.0000,200,0.1475
0.0127,0.0000,0.0000,0.0000,0.0126,0.0001,200,0.1475
0.0135,0.0000,0.0000,0.0000,0.0134,0.0001,200,0.1475
0.0079,0.0000,0.0000,0.0000,0.0078,0.0001,200,0.2208
0.0086,0.0000,0.0000,0.0000,0.0085,0.0001,200,0.2204
0.0094,0.0000,0.0000,0.0000,0.0091,0.0001,200,0.2206
0.0108,0.0000,0.0000,0.0001,0.0106,0.0001,200,0.2206
0.0113,0.0000,0.0000,0.0000,0.0112,0.0001,200,0.2207
0.0118,0.0000,0.0000,0.0000,0.0117,0.0001,200,0.2207
0.0117,0.0000,0.0000,0.0001,0.0115,0.0000,200,0.2209
