response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0227,0.0017,0.0007,0.0002,0.0207,0.0001,200,0.0835
0.0229,0.0015,0.0013,0.0002,0.0207,0.0002,200,0.0834
0.0228,0.0018,0.0013,0.0002,0.0208,0.0001,200,0.0834
0.0230,0.0018,0.0008,0.0005,0.0203,0.0002,200,0.0833
0.0229,0.0017,0.0010,0.0002,0.0207,0.0002,200,0.0834
0.0228,0.0019,0.0016,0.0000,0.0207,0.0001,200,0.0835
0.0227,0.0016,0.0010,0.0001,0.0208,0.0002,200,0.0836
0.0228,0.0017,0.0009,0.0002,0.0206,0.0002,200,0.0835
0.0231,0.0018,0.0008,0.0001,0.0207,0.0002,200,0.0833
0.0229,0.0017,0.0007,0.0002,0.0207,0.0002,200,0.0834
0.0228,0.0014,0.0011,0.0002,0.0208,0.0002,200,0.0836
0.0229,0.0017,0.0006,0.0001,0.0204,0.0003,200,0.0835
0.0229,0.0011,0.0003,0.0002,0.0208,0.0003,200,0.0835
0.0323,0.0013,0.0007,0.0001,0.0305,0.0001,200,0.0837
0.0334,0.0016,0.0007,0.0001,0.0316,0.0001,200,0.0836
0.0083,0.0000,0.0000,0.0000,0.0081,0.0001,200,0.1635
0.0111,0.0000,0.0000,0.0000,0.0109,0.0001,200,0.1636
0.0113,0.0000,0.0000,0.0000,0.0111,0.0001,200,0.1635
0.0114,0.0000,0.0000,0.0000,0.0112,0.0001,200,0.1635
0.0116,0.0000,0.0000,0.0000,0.0114,0.0001,200,0.1634
0.0115,0.0000,0.0000,0.0000,0.0113,0.0001,200,0.1636
0.0120,0.0000,0.0000,0.0002,0.0102,0.0000,200,0.1635
0.0123,0.0000,0.0000,0.0000,0.0121,0.0001,200,0.1637
0.0130,0.0000,0.0000,0.0000,0.0129,0.0001,200,0.1635
0.0131,0.0000,0.0000,0.0000,0.0129,0.0001,200,0.1636
0.0136,0.0000,0.0000,0.0000,0.0134,0.0000,200,0.1636
0.0142,0.0000,0.0000,0.0000,0.0140,0.0001,200,0.1636
0.0143,0.0000,0.0000,0.0000,0.0142,0.0001,200,0.1636
0.0150,0.0000,0.0000,0.0000,0.0145,0.0001,200,0.1634
0.0158,0.0000,0.0000,0.0000,0.0157,0.0000,200,0.1637
0.0079,0.0000,0.0000,0.0000,0.0078,0.0001,200,0.2429
0.0090,0.0000,0.0000,0.0000,0.0089,0.0001,200,0.2429
0.0091,0.0000,0.0000,0.0000,0.0090,0.0001,200,0.2429
0.0104,0.0000,0.0000,0.0000,0.0102,0.0001,200,0.2431
0.0107,0.0000,0.0000,0.0000,0.0106,0.0001,200,0.2428
0.0109,0.0000,0.0000,0.0001,0.0107,0.0001,200,0.2431
0.0115,0.0000,0.0000,0.0001,0.0112,0.0001,200,0.2431
0.0117,0.0000,0.0000,0.0000,0.0115,0.0001,200,0.2429
0.0118,0.0000,0.0000,0.0000,0.0117,0.0001,200,0.2428
0.0120,0.0000,0.0000,0.0000,0.0118,0.0002,200,0.2430
0.0120,0.0000,0.0000,0.0000,0.0119,0.0001,200,0.2430
0.0126,0.0000,0.0000,0.0000,0.0124,0.0001,200,0.2430
0.0127,0.0000,0.0000,0.0000,0.0126,0.0001,200,0.2430
