response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0130,0.0010,0.0005,0.0002,0.0116,0.0002,200,0.0676
0.0131,0.0008,0.0005,0.0002,0.0119,0.0001,200,0.0676
0.0132,0.0011,0.0005,0.0002,0.0117,0.0001,200,0.0675
0.0132,0.0009,0.0007,0.0001,0.0120,0.0001,200,0.0677
0.0137,0.0016,0.0010,0.0001,0.0117,0.0001,200,0.0671
0.0135,0.0012,0.0009,0.0001,0.0119,0.0001,200,0.0674
0.0139,0.0016,0.0013,0.0001,0.0120,0.0000,200,0.0670
0.0146,0.0007,0.0003,0.0001,0.0134,0.0001,200,0.0675
0.0148,0.0010,0.0005,0.0002,0.0133,0.0001,200,0.0673
0.0151,0.0013,0.0008,0.0002,0.0133,0.0001,200,0.0671
0.0155,0.0011,0.0007,0.0001,0.0143,0.0001,200,0.0676
0.0156,0.0010,0.0005,0.0001,0.0144,0.0000,200,0.0676
0.0158,0.0011,0.0008,0.0001,0.0144,0.0000,200,0.0676
0.0171,0.0013,0.0008,0.0002,0.0152,0.0001,200,0.0672
0.0180,0.0016,0.0013,0.0001,0.0161,0.0001,200,0.0671
0.0087,0.0000,0.0000,0.0000,0.0085,0.0001,200,0.1324
0.0096,0.0000,0.0000,0.0000,0.0094,0.0001,200,0.1325
0.0102,0.0000,0.0000,0.0000,0.0100,0.0001,200,0.1324
0.0109,0.0000,0.0000,0.0000,0.0105,0.0001,200,0.1325
0.0110,0.0000,0.0000,0.0000,0.0105,0.0001,200,0.1325
0.0115,0.0000,0.0000,0.0000,0.0113,0.0001,200,0.1324
0.0114,0.0000,0.0000,0.0000,0.0113,0.0001,200,0.1325
0.0113,0.0000,0.0000,0.0000,0.0112,0.0001,200,0.1326
0.0118,0.0000,0.0000,0.0001,0.0116,0.0001,200,0.1325
0.0126,0.0000,0.0000,0.0000,0.0122,0.0000,200,0.1325
0.0126,0.0000,0.0000,0.0000,0.0122,0.0001,200,0.1325
0.0131,0.0000,0.0000,0.0000,0.0130,0.0001,200,0.1326
0.0480,0.0000,0.0000,0.0000,0.0477,0.0001,200,0.1325
0.0481,0.0000,0.0000,0.0000,0.0478,0.0000,200,0.1324
0.0527,0.0000,0.0000,0.0000,0.0525,0.0001,200,0.1325
0.0089,0.0000,0.0000,0.0000,0.0087,0.0001,200,0.1970
0.0090,0.0000,0.0000,0.0000,0.0088,0.0001,200,0.1970
0.0091,0.0000,0.0000,0.0000,0.0090,0.0001,200,0.1969
0.0107,0.0000,0.0000,0.0000,0.0106,0.0001,200,0.1967
0.0105,0.0000,0.0000,0.0000,0.0104,0.0000,200,0.1969
0.0118,0.0000,0.0000,0.0000,0.0117,0.0001,200,0.1968
0.0120,0.0000,0.0000,0.0000,0.0119,0.0000,200,0.1967
0.0122,0.0000,0.0000,0.0000,0.0120,0.0001,200,0.1968
0.0121,0.0000,0.0000,0.0000,0.0120,0.0001,200,0.1970
0.0136,0.0000,0.0000,0.0000,0.0135,0.0000,200,0.1968
0.0136,0.0000,0.0000,0.0000,0.0134,0.0000,200,0.1969
0.0140,0.0000,0.0000,0.0000,0.0139,0.0000,200,0.1968
0.0147,0.0000,0.0000,0.0000,0.0146,0.0001,200,0.1969
0.0157,0.0000,0.0000,0.0000,0.0154,0.0001,200,0.1966
0.0156,0.0000,0.0000,0.0000,0.0155,0.0000,200,0.1969
0.0102,0.0000,0.0000,0.0000,0.0099,0.0001,200,0.2620
0.0117,0.0000,0.0000,0.0000,0.0116,0.0001,200,0.2620
0.0121,0.0000,0.0000,0.0000,0.0120,0.0001,200,0.2621
0.0122,0.0000,0.0000,0.0000,0.0121,0.0001,200,0.2621
0.0123,0.0000,0.0000,0.0000,0.0122,0.0001,200,0.2620
0.0122,0.0000,0.0000,0.0000,0.0121,0.0001,200,0.2621
0.0131,0.0000,0.0000,0.0000,0.0128,0.0001,200,0.2619
0.0132,0.0000,0.0000,0.0000,0.0130,0.0001,200,0.2621
0.0135,0.0000,0.0000,0.0000,0.0134,0.0001,200,0.2620
0.0137,0.0000,0.0000,0.0000,0.0135,0.0000,200,0.2619
0.0146,0.0000,0.0000,0.0000,0.0143,0.0001,200,0.2620
0.0147,0.0000,0.0000,0.0000,0.0145,0.0001,200,0.2619
0.0145,0.0000,0.0000,0.0000,0.0143,0.0001,200,0.2622
0.0152,0.0000,0.0000,0.0000,0.0150,0.0001,200,0.2619
0.0155,0.0000,0.0000,0.0000,0.0153,0.0001,200,0.2620
0.0083,0.0000,0.0000,0.0000,0.0081,0.0001,200,0.3259
0.0099,0.0000,0.0000,0.0000,0.0098,0.0001,200,0.3259
0.0100,0.0000,0.0000,0.0000,0.0099,0.0001,200,0.3260
0.0112,0.0000,0.0000,0.0000,0.0109,0.0001,200,0.3258
0.0110,0.0000,0.0000,0.0000,0.0108,0.0001,200,0.3261
0.0112,0.0000,0.0000,0.0000,0.0111,0.0001,200,0.3261
0.0115,0.0000,0.0000,0.0000,0.0112,0.0001,200,0.3260
0.0115,0.0000,0.0000,0.0000,0.0113,0.0001,200,0.3261
0.0127,0.0000,0.0000,0.0000,0.0126,0.0001,200,0.3259
0.0128,0.0000,0.0000,0.0001,0.0126,0.0001,200,0.3260
0.0131,0.0000,0.0000,0.0000,0.0129,0.0001,200,0.3261
0.0150,0.0000,0.0000,0.0000,0.0149,0.0000,200,0.3260
0.0152,0.0000,0.0000,0.0000,0.0151,0.0001,200,0.3261
0.0463,0.0000,0.0000,0.0000,0.0461,0.0001,200,0.3260
0.0530,0.0000,0.0000,0.0000,0.0527,0.0001,200,0.3259
0.0095,0.0000,0.0000,0.0000,0.0094,0.0001,200,0.3904
0.0097,0.0000,0.0000,0.0000,0.0096,0.0001,200,0.3903
0.0106,0.0000,0.0000,0.0000,0.0104,0.0001,200,0.3902
0.0108,0.0000,0.0000,0.0000,0.0107,0.0001,200,0.3903
0.0110,0.0000,0.0000,0.0003,0.0106,0.0000,200,0.3902
0.0121,0.0000,0.0000,0.0000,0.0120,0.0001,200,0.3902
0.0122,0.0000,0.0000,0.0000,0.0120,0.0001,200,0.3903
0.0124,0.0000,0.0000,0.0000,0.0123,0.0001,200,0.3901
0.0134,0.0000,0.0000,0.0001,0.0132,0.0001,200,0.3901
0.0134,0.0000,0.0000,0.0000,0.0133,0.0001,200,0.3902
0.0137,0.0000,0.0000,0.0000,0.0135,0.0001,200,0.3904
0.0139,0.0000,0.0000,0.0000,0.0137,0.0001,200,0.3903
0.0143,0.0000,0.0000,0.0000,0.0142,0.0001,200,0.3904
0.0147,0.0000,0.0000,0.0000,0.0146,0.0000,200,0.3904
0.0149,0.0000,0.0000,0.0000,0.0146,0.0001,200,0.3903
0.0084,0.0000,0.0000,0.0001,0.0082,0.0001,200,0.4556
0.0085,0.0000,0.0000,0.0001,0.0082,0.0001,200,0.4556
0.0093,0.0000,0.0000,0.0000,0.0092,0.0001,200,0.4557
0.0094,0.0000,0.0000,0.0000,0.0093,0.0001,200,0.4557
0.0100,0.0000,0.0000,0.0000,0.0098,0.0001,200,0.4556
0.0104,0.0000,0.0000,0.0000,0.0103,0.0001,200,0.4557
0.0104,0.0000,0.0000,0.0000,0.0102,0.0001,200,0.4558
0.0106,0.0000,0.0000,0.0000,0.0104,0.0001,200,0.4556
0.0107,0.0000,0.0000,0.0000,0.0106,0.0001,200,0.4555
0.0108,0.0000,0.0000,0.0000,0.0107,0.0001,200,0.4557
0.0111,0.0000,0.0000,0.0000,0.0109,0.0001,200,0.4555
0.0126,0.0000,0.0000,0.0000,0.0123,0.0001,200,0.4554
0.0140,0.0000,0.0000,0.0000,0.0139,0.0001,200,0.4554
0.0143,0.0000,0.0000,0.0000,0.0142,0.0001,200,0.4556
0.0160,0.0000,0.0000,0.0000,0.0158,0.0001,200,0.4555
