phase,algo,servers,load_frac,load_pct,qrif,qrif_label,qrif_runtime,probe_rate,target_qps,workers,bin_seconds,bin_index,timestamp,elapsed_s,p50_us,p90_us,p99_us,p99_9_us,avg_us,total_responses,ok_responses,error_responses,response_qps,error_qps,status_dist
1,prequal,20,0.75,75,0.0,0,0.0,3.0,1125,120,5,22,2026-07-08T11:41:20,137.478,53600.0,94600.0,137800.0,162400.0,58285.99822537711,5641,5635,6,1128.2,1.2,"{""200"": 5635, ""503"": 6}"
1,prequal,20,0.75,75,0.0,0,0.0,3.0,1125,120,5,23,2026-07-08T11:41:25,142.478,53700.0,94000.0,139400.0,165300.0,58113.74545454545,5521,5500,21,1104.2,4.2,"{""200"": 5500, ""503"": 21}"
1,prequal,20,0.75,75,0.0,0,0.0,3.0,1125,120,5,24,2026-07-08T11:41:30,147.478,53400.0,95000.0,139300.0,166500.0,58254.314630681816,5640,5632,8,1128.0,1.6,"{""200"": 5632, ""503"": 8}"
1,prequal,20,0.75,75,0.0,0,0.0,3.0,1125,120,5,25,2026-07-08T11:41:35,152.478,53400.0,94100.0,138300.0,167100.0,57981.45519077196,5640,5635,5,1128.0,1.0,"{""200"": 5635, ""503"": 5}"
1,prequal,20,0.75,75,0.0,0,0.0,3.0,1125,120,5,26,2026-07-08T11:41:40,157.478,53300.0,95900.0,139000.0,165300.0,58389.59259918164,5640,5621,19,1128.0,3.8,"{""200"": 5621, ""503"": 19}"
1,prequal,20,0.75,75,0.0,0,0.0,3.0,1125,120,5,27,2026-07-08T11:41:45,162.478,53700.0,93000.0,131000.0,157000.0,58093.92539964476,5640,5630,10,1128.0,2.0,"{""200"": 5630, ""503"": 10}"
1,prequal,20,0.75,75,0.0,0,0.0,3.0,1125,120,5,28,2026-07-08T11:41:50,167.478,53300.0,93700.0,142900.0,168400.0,58218.30935890606,5639,5631,8,1127.8,1.6,"{""200"": 5631, ""503"": 8}"
1,prequal,20,0.75,75,0.0,0,0.0,3.0,1125,120,5,29,2026-07-08T11:41:55,172.478,53100.0,94300.0,137300.0,164000.0,57919.52736318408,5637,5628,9,1127.4,1.8,"{""200"": 5628, ""503"": 9}"
1,prequal,20,0.75,75,0.0,0,0.0,3.0,1125,120,5,30,2026-07-08T11:42:00,177.478,52900.0,94100.0,142700.0,169100.0,58076.41843971631,5643,5640,3,1128.6,0.6,"{""200"": 5640, ""503"": 3}"
1,prequal,20,0.75,75,0.0,0,0.0,3.0,1125,120,5,31,2026-07-08T11:42:05,182.478,53300.0,94400.0,134300.0,161700.0,58080.65627266135,5521,5516,5,1104.2,1.0,"{""200"": 5516, ""503"": 5}"
1,prequal,20,0.75,75,0.0,0,0.0,3.0,1125,120,5,32,2026-07-08T11:42:10,187.478,54000.0,95000.0,135000.0,162700.0,58778.842740504086,5640,5634,6,1128.0,1.2,"{""200"": 5634, ""503"": 6}"
1,prequal,20,0.75,75,0.0,0,0.0,3.0,1125,120,5,33,2026-07-08T11:42:15,192.478,53000.0,94700.0,140800.0,164000.0,58082.26723525231,5640,5628,12,1128.0,2.4,"{""200"": 5628, ""503"": 12}"
1,prequal,20,0.75,75,0.0,0,0.0,3.0,1125,120,5,34,2026-07-08T11:42:20,197.478,53000.0,95300.0,141100.0,169800.0,57897.17383576253,5640,5626,14,1128.0,2.8,"{""200"": 5626, ""503"": 14}"
