phase,algo,servers,load_frac,load_pct,qrif,qrif_label,qrif_runtime,probe_rate,target_qps,workers,duration_s,started,ended,command,returncode,total_responses,ok_responses,error_responses,error_pct,response_qps,error_qps,p50_us,p90_us,p99_us,p99_9_us,avg_us,status_dist
1,prequal,20,0.75,75,0.0,0,0.0,3.0,1125,120,240,2026-07-08T11:39:28,2026-07-08T11:43:37,hey -z 240s -q 9.3750 -c 120 -o csv http://localhost:8080,0,269992,269543,449,0.16630122373996267,1124.9666666666667,1.8708333333333333,53300.0,94300.0,137700.0,164300.0,58080.03175745614,"{""200"": 269543, ""503"": 449}"
2,prequal,20,0.75,75,0.35,.35,0.35,3.0,1125,120,240,2026-07-08T11:44:03,2026-07-08T11:48:12,hey -z 240s -q 9.3750 -c 120 -o csv http://localhost:8080,0,269995,269604,391,0.1448174966203078,1124.9791666666667,1.6291666666666667,53300.0,94200.0,137100.0,164400.0,58045.33575169508,"{""200"": 269604, ""503"": 391}"
3,prequal,20,0.75,75,0.39,.39,0.39,3.0,1125,120,240,2026-07-08T11:48:38,2026-07-08T11:52:47,hey -z 240s -q 9.3750 -c 120 -o csv http://localhost:8080,0,269991,269525,466,0.1725983458707883,1124.9625,1.9416666666666667,53300.0,94800.0,138900.0,166500.0,58161.3137927836,"{""200"": 269525, ""503"": 466}"
4,prequal,20,0.75,75,0.43,.43,0.43,3.0,1125,120,240,2026-07-08T11:53:13,2026-07-08T11:57:22,hey -z 240s -q 9.3750 -c 120 -o csv http://localhost:8080,0,269995,269595,400,0.14815089168317933,1124.9791666666667,1.6666666666666667,53300.0,94500.0,137700.0,165100.0,58051.608894823716,"{""200"": 269595, ""503"": 400}"
5,prequal,20,0.75,75,0.48,.48,0.48,3.0,1125,120,240,2026-07-08T11:57:48,2026-07-08T12:01:57,hey -z 240s -q 9.3750 -c 120 -o csv http://localhost:8080,0,269994,269540,454,0.16815188485670052,1124.975,1.8916666666666666,53400.0,94300.0,137300.0,165400.0,58082.67455665208,"{""200"": 269540, ""503"": 454}"
6,prequal,20,0.75,75,0.53,.53,0.53,3.0,1125,120,240,2026-07-08T12:02:23,2026-07-08T12:06:33,hey -z 240s -q 9.3750 -c 120 -o csv http://localhost:8080,0,269986,269595,391,0.14482232412050997,1124.9416666666666,1.6291666666666667,53400.0,94300.0,137400.0,165400.0,58067.32172332573,"{""200"": 269595, ""503"": 391}"
7,prequal,20,0.75,75,0.59,.59,0.59,3.0,1125,120,240,2026-07-08T12:06:59,2026-07-08T12:11:08,hey -z 240s -q 9.3750 -c 120 -o csv http://localhost:8080,0,269992,269475,517,0.19148715517496814,1124.9666666666667,2.154166666666667,53200.0,94400.0,137700.0,164400.0,58017.92151405511,"{""200"": 269475, ""503"": 517}"
8,prequal,20,0.75,75,0.66,.66,0.66,3.0,1125,120,240,2026-07-08T12:11:34,2026-07-08T12:15:43,hey -z 240s -q 9.3750 -c 120 -o csv http://localhost:8080,0,269988,269495,493,0.1826007081796228,1124.95,2.0541666666666667,53300.0,94400.0,137500.0,165200.0,58037.54800645652,"{""200"": 269495, ""503"": 493}"
9,prequal,20,0.75,75,0.73,.73,0.73,3.0,1125,120,240,2026-07-08T12:16:09,2026-07-08T12:20:18,hey -z 240s -q 9.3750 -c 120 -o csv http://localhost:8080,0,269993,269468,525,0.19444948572740775,1124.9708333333333,2.1875,53300.0,94400.0,138000.0,166400.0,58079.95754597949,"{""200"": 269468, ""503"": 525}"
10,prequal,20,0.75,75,0.81,.81,0.81,3.0,1125,120,240,2026-07-08T12:20:44,2026-07-08T12:24:53,hey -z 240s -q 9.3750 -c 120 -o csv http://localhost:8080,0,269994,269670,324,0.12000266672592724,1124.975,1.35,53200.0,94000.0,137400.0,163600.0,57918.23154225535,"{""200"": 269670, ""503"": 324}"
11,prequal,20,0.75,75,0.9,.90,0.9,3.0,1125,120,240,2026-07-08T12:25:19,2026-07-08T12:29:29,hey -z 240s -q 9.3750 -c 120 -o csv http://localhost:8080,0,269991,269568,423,0.15667188906296878,1124.9625,1.7625,53300.0,94100.0,137500.0,164400.0,57983.5585084283,"{""200"": 269568, ""503"": 423}"
12,prequal,20,0.75,75,0.99,.99,0.99,3.0,1125,120,240,2026-07-08T12:29:55,2026-07-08T12:34:04,hey -z 240s -q 9.3750 -c 120 -o csv http://localhost:8080,0,269992,269506,486,0.18000533349136272,1124.9666666666667,2.025,53400.0,94200.0,137800.0,165800.0,58089.83510571193,"{""200"": 269506, ""503"": 486}"
13,prequal,20,0.75,75,0.999,.999,0.999,3.0,1125,120,240,2026-07-08T12:34:30,2026-07-08T12:38:39,hey -z 240s -q 9.3750 -c 120 -o csv http://localhost:8080,0,269980,269414,566,0.2096451589006593,1124.9166666666667,2.3583333333333334,53300.0,94200.0,137400.0,165300.0,58021.13847090352,"{""200"": 269414, ""503"": 566}"
14,prequal,20,0.75,75,1.0,1.0,1.0,3.0,1125,120,240,2026-07-08T12:39:05,2026-07-08T12:43:15,hey -z 240s -q 9.3750 -c 120 -o csv http://localhost:8080,0,269995,269475,520,0.1925961591881331,1124.9791666666667,2.1666666666666665,53500.0,93900.0,137000.0,164600.0,58068.6508952593,"{""200"": 269475, ""503"": 520}"
