phase,servers,load_frac,load_pct,qrif,qrif_label,qrif_runtime,probe_rate,target_qps,timestamp,elapsed_s,rif_p50,rif_p90,rif_p99,rif_limit,sample_count,rif_values
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T11:39:37.307,34.09,5.0,6.0,8.0,2.0,20,"[2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 4.0, 4.0, 4.0, 5.0, 5.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 7.0, 8.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T11:39:37.817,34.599,6.0,9.0,11.0,2.0,20,"[2.0, 2.0, 3.0, 4.0, 4.0, 4.0, 5.0, 5.0, 5.0, 6.0, 6.0, 6.0, 6.0, 7.0, 8.0, 8.0, 9.0, 9.0, 10.0, 11.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T11:39:38.318,35.101,0.0,2.0,5.0,0.0,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 5.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T11:39:38.820,35.602,3.0,7.0,7.0,0.0,20,"[0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 3.0, 3.0, 4.0, 4.0, 4.0, 4.0, 5.0, 5.0, 7.0, 7.0, 7.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T11:39:39.322,36.104,5.0,9.0,12.0,2.0,20,"[2.0, 2.0, 2.0, 4.0, 4.0, 4.0, 4.0, 5.0, 5.0, 5.0, 5.0, 6.0, 7.0, 7.0, 8.0, 8.0, 9.0, 9.0, 9.0, 12.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T11:39:39.824,36.606,0.0,1.0,4.0,0.0,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 3.0, 4.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T11:39:40.325,37.108,2.0,5.0,6.0,0.0,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 5.0, 5.0, 5.0, 5.0, 6.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T11:39:40.827,37.609,4.0,8.0,9.0,0.0,20,"[0.0, 1.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 4.0, 4.0, 5.0, 6.0, 7.0, 7.0, 7.0, 7.0, 8.0, 8.0, 9.0, 9.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T11:39:41.335,38.117,4.0,7.0,10.0,0.0,20,"[0.0, 2.0, 2.0, 3.0, 3.0, 3.0, 3.0, 4.0, 4.0, 4.0, 4.0, 4.0, 5.0, 5.0, 6.0, 6.0, 6.0, 7.0, 8.0, 10.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T11:39:41.836,38.619,0.0,2.0,5.0,0.0,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 5.0]"
