phase,servers,load_frac,load_pct,probe_rate,probe_label,effective_async_probes,target_qps,timestamp,elapsed_s,rif_p50,rif_p90,rif_p99,rif_limit,sample_count,rif_values
1,20,1.5,150,4.0,4,4,750,2026-07-06T07:21:41,34.071,0.0,1.0,4.0,1.0,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 4.0]"
1,20,1.5,150,4.0,4,4,750,2026-07-06T07:21:42,34.572,0.0,2.0,3.0,1.0,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 3.0]"
1,20,1.5,150,4.0,4,4,750,2026-07-06T07:21:42,35.075,1.0,3.0,4.0,3.0,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0, 3.0, 4.0]"
1,20,1.5,150,4.0,4,4,750,2026-07-06T07:21:43,35.577,0.0,2.0,3.0,1.0,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 3.0]"
1,20,1.5,150,4.0,4,4,750,2026-07-06T07:21:43,36.079,1.0,3.0,4.0,3.0,20,"[0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0, 4.0]"
1,20,1.5,150,4.0,4,4,750,2026-07-06T07:21:44,36.58,0.0,1.0,2.0,1.0,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 2.0]"
1,20,1.5,150,4.0,4,4,750,2026-07-06T07:21:44,37.082,1.0,3.0,4.0,2.0,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 3.0, 3.0, 4.0]"
1,20,1.5,150,4.0,4,4,750,2026-07-06T07:21:45,37.584,0.0,1.0,3.0,1.0,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 3.0]"
1,20,1.5,150,4.0,4,4,750,2026-07-06T07:21:45,38.086,0.0,2.0,3.0,2.0,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 3.0, 3.0]"
1,20,1.5,150,4.0,4,4,750,2026-07-06T07:21:46,38.588,0.0,1.0,1.0,0.0,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]"
1,20,1.5,150,4.0,4,4,750,2026-07-06T07:21:46,39.089,0.0,1.0,3.0,1.0,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 3.0]"
1,20,1.5,150,4.0,4,4,750,2026-07-06T07:21:47,39.597,1.0,2.0,3.0,2.0,20,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
1,20,1.5,150,4.0,4,4,750,2026-07-06T07:21:47,40.098,0.0,1.0,2.0,0.0,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0]"
1,20,1.5,150,4.0,4,4,750,2026-07-06T07:21:48,40.601,1.0,2.0,4.0,2.0,20,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0]"
