phase,algo,servers,load_frac,load_pct,probe_rate,probe_label,effective_async_probes,target_qps,workers,bin_seconds,bin_index,timestamp,elapsed_s,p50_us,p90_us,p99_us,p99_9_us,avg_us,total_responses,ok_responses,error_responses,response_qps,error_qps,status_dist
1,prequal,20,1.5,150,4.0,4,4,750,30,5,25,2026-07-06T07:23:39.359,151.604,12200.0,48600.0,58500.0,90900.0,19843.458445040214,3730,3730,0,746.0,0.0,"{""200"": 3730}"
1,prequal,20,1.5,150,4.0,4,4,750,30,5,26,2026-07-06T07:23:44.359,156.604,12200.0,48700.0,57700.0,82900.0,19707.830037413147,3742,3742,0,748.4,0.0,"{""200"": 3742}"
1,prequal,20,1.5,150,4.0,4,4,750,30,5,27,2026-07-06T07:23:49.359,161.604,12300.0,49000.0,61700.0,95300.0,20200.05367686527,3726,3726,0,745.2,0.0,"{""200"": 3726}"
1,prequal,20,1.5,150,4.0,4,4,750,30,5,28,2026-07-06T07:23:54.359,166.604,12200.0,48600.0,58600.0,85800.0,19855.78158458244,3736,3736,0,747.2,0.0,"{""200"": 3736}"
1,prequal,20,1.5,150,4.0,4,4,750,30,5,29,2026-07-06T07:23:59.359,171.604,12200.0,48700.0,60500.0,93600.0,20066.73813990887,3731,3731,0,746.2,0.0,"{""200"": 3731}"
1,prequal,20,1.5,150,4.0,4,4,750,30,5,30,2026-07-06T07:24:04.359,176.604,12300.0,48100.0,57200.0,84600.0,19647.566844919787,3740,3740,0,748.0,0.0,"{""200"": 3740}"
1,prequal,20,1.5,150,4.0,4,4,750,30,5,31,2026-07-06T07:24:09.359,181.604,12200.0,49200.0,63100.0,94900.0,20068.99785637728,3732,3732,0,746.4,0.0,"{""200"": 3732}"
1,prequal,20,1.5,150,4.0,4,4,750,30,5,32,2026-07-06T07:24:14.359,186.604,12400.0,48200.0,58200.0,93200.0,19680.914194065757,3741,3741,0,748.2,0.0,"{""200"": 3741}"
1,prequal,20,1.5,150,4.0,4,4,750,30,5,33,2026-07-06T07:24:19.359,191.604,12300.0,48400.0,67100.0,93900.0,19898.253157753294,3721,3721,0,744.2,0.0,"{""200"": 3721}"
1,prequal,20,1.5,150,4.0,4,4,750,30,5,34,2026-07-06T07:24:24.359,196.604,12300.0,48300.0,57700.0,91800.0,19690.93825180433,3741,3741,0,748.2,0.0,"{""200"": 3741}"
1,prequal,20,1.5,150,4.0,4,4,750,30,5,35,2026-07-06T07:24:29.359,201.604,12300.0,48700.0,58000.0,87700.0,19740.05354752343,3735,3735,0,747.0,0.0,"{""200"": 3735}"
1,prequal,20,1.5,150,4.0,4,4,750,30,5,36,2026-07-06T07:24:34.359,206.604,12100.0,48900.0,60500.0,88900.0,20004.523554603853,3736,3736,0,747.2,0.0,"{""200"": 3736}"
1,prequal,20,1.5,150,4.0,4,4,750,30,5,37,2026-07-06T07:24:39.359,211.604,12300.0,48300.0,57200.0,89300.0,19659.207708779442,3736,3736,0,747.2,0.0,"{""200"": 3736}"
1,prequal,20,1.5,150,4.0,4,4,750,30,5,38,2026-07-06T07:24:44.359,216.604,12300.0,48900.0,57900.0,90200.0,19675.26766595289,3736,3736,0,747.2,0.0,"{""200"": 3736}"
1,prequal,20,1.5,150,4.0,4,4,750,30,5,39,2026-07-06T07:24:49.359,221.604,12300.0,48400.0,58600.0,89500.0,19811.7032672737,3734,3734,0,746.8,0.0,"{""200"": 3734}"
1,prequal,20,1.5,150,4.0,4,4,750,30,5,40,2026-07-06T07:24:54.359,226.604,12200.0,48400.0,59200.0,88300.0,19818.678084024617,3737,3737,0,747.4,0.0,"{""200"": 3737}"
1,prequal,20,1.5,150,4.0,4,4,750,30,5,41,2026-07-06T07:24:59.359,231.604,12400.0,49100.0,61800.0,90900.0,20080.471470667024,3733,3733,0,746.6,0.0,"{""200"": 3733}"
1,prequal,20,1.5,150,4.0,4,4,750,30,5,42,2026-07-06T07:25:04.359,236.604,12300.0,48900.0,58800.0,88300.0,19749.15707786995,3737,3737,0,747.4,0.0,"{""200"": 3737}"
1,prequal,20,1.5,150,4.0,4,4,750,30,5,43,2026-07-06T07:25:09.359,241.604,12400.0,49100.0,59600.0,93800.0,19897.18875502008,3735,3735,0,747.0,0.0,"{""200"": 3735}"
1,prequal,20,1.5,150,4.0,4,4,750,30,5,44,2026-07-06T07:25:14.359,246.604,12300.0,49000.0,62700.00000000001,90500.0,19937.737871884212,3731,3731,0,746.2,0.0,"{""200"": 3731}"
1,prequal,20,1.5,150,4.0,4,4,750,30,5,45,2026-07-06T07:25:19.359,251.604,12200.0,48600.0,57800.0,85000.0,20072.71753681392,3735,3735,0,747.0,0.0,"{""200"": 3735}"
1,prequal,20,1.5,150,4.0,4,4,750,30,5,46,2026-07-06T07:25:24.359,256.604,12200.0,48300.0,58600.0,87700.0,19715.38255751739,3738,3738,0,747.6,0.0,"{""200"": 3738}"
1,prequal,20,1.5,150,4.0,4,4,750,30,5,47,2026-07-06T07:25:29.359,261.604,12200.0,48500.0,62200.0,88100.0,19746.98472259448,3731,3731,0,746.2,0.0,"{""200"": 3731}"
2,prequal,20,1.5,150,2.8284271247461903,2sqrt2,2,750,30,5,0,2026-07-06T07:26:05.489,297.734,12200.0,48000.0,57300.0,92200.0,19355.53455723542,3704,3704,0,740.8,0.0,"{""200"": 3704}"
2,prequal,20,1.5,150,2.8284271247461903,2sqrt2,2,750,30,5,1,2026-07-06T07:26:10.489,302.734,12400.0,48000.0,58800.0,89900.0,19599.35691318328,3732,3732,0,746.4,0.0,"{""200"": 3732}"
2,prequal,20,1.5,150,2.8284271247461903,2sqrt2,2,750,30,5,2,2026-07-06T07:26:15.489,307.734,12300.0,47700.0,60500.0,91600.0,19454.530831099197,3730,3730,0,746.0,0.0,"{""200"": 3730}"
2,prequal,20,1.5,150,2.8284271247461903,2sqrt2,2,750,30,5,3,2026-07-06T07:26:20.489,312.734,12300.0,48000.0,58100.0,84000.0,19340.374331550804,3740,3740,0,748.0,0.0,"{""200"": 3740}"
2,prequal,20,1.5,150,2.8284271247461903,2sqrt2,2,750,30,5,4,2026-07-06T07:26:25.489,317.734,12400.0,47900.0,58900.0,87400.0,19523.78016085791,3730,3730,0,746.0,0.0,"{""200"": 3730}"
2,prequal,20,1.5,150,2.8284271247461903,2sqrt2,2,750,30,5,5,2026-07-06T07:26:30.489,322.734,12300.0,48300.0,60100.0,88500.0,19450.99142550911,3732,3732,0,746.4,0.0,"{""200"": 3732}"
