phase,algo,servers,load_frac,load_pct,qrif,qrif_label,qrif_runtime,probe_rate,target_qps,workers,duration_s,started,ended,command,returncode,total_responses,ok_responses,error_responses,error_pct,response_qps,error_qps,p50_us,p90_us,p99_us,p99_9_us,avg_us,status_dist
1,prequal,20,0.75,75,0.0,0,1e-09,2.0,375,30,240,2026-07-06T08:56:22,2026-07-06T09:00:25,hey -z 240s -q 12.5000 -c 30 -o csv http://localhost:8080,0,89998,89998,0,0.0,374.9916666666667,0.0,16000.0,52500.0,90700.0,101900.0,29865.189226427254,"{""200"": 89998}"
2,prequal,20,0.75,75,0.35,.35,0.35,2.0,375,30,240,2026-07-06T09:00:50,2026-07-06T09:04:53,hey -z 240s -q 12.5000 -c 30 -o csv http://localhost:8080,0,90000,89999,1,0.0011111111111111111,375.0,0.004166666666666667,16299.999999999998,52700.0,90100.0,102100.0,30232.218135757063,"{""200"": 89999, ""503"": 1}"
3,prequal,20,0.75,75,0.39,.39,0.39,2.0,375,30,240,2026-07-06T09:05:17,2026-07-06T09:09:20,hey -z 240s -q 12.5000 -c 30 -o csv http://localhost:8080,0,89999,89999,0,0.0,374.99583333333334,0.0,15900.000000000002,52100.0,90000.0,99400.0,29492.571028566985,"{""200"": 89999}"
4,prequal,20,0.75,75,0.43,.43,0.43,2.0,375,30,240,2026-07-06T09:09:45,2026-07-06T09:13:48,hey -z 240s -q 12.5000 -c 30 -o csv http://localhost:8080,0,90000,90000,0,0.0,375.0,0.0,15900.000000000002,52300.0,89700.0,99400.0,29441.09888888889,"{""200"": 90000}"
5,prequal,20,0.75,75,0.48,.48,0.48,2.0,375,30,240,2026-07-06T09:14:13,2026-07-06T09:18:16,hey -z 240s -q 12.5000 -c 30 -o csv http://localhost:8080,0,90000,90000,0,0.0,375.0,0.0,15900.000000000002,52200.0,89800.0,99500.0,29341.99111111111,"{""200"": 90000}"
6,prequal,20,0.75,75,0.53,.53,0.53,2.0,375,30,240,2026-07-06T09:18:41,2026-07-06T09:22:44,hey -z 240s -q 12.5000 -c 30 -o csv http://localhost:8080,0,90000,90000,0,0.0,375.0,0.0,15900.000000000002,52600.0,90000.0,100300.0,29740.284444444445,"{""200"": 90000}"
7,prequal,20,0.75,75,0.59,.59,0.59,2.0,375,30,240,2026-07-06T09:23:09,2026-07-06T09:27:12,hey -z 240s -q 12.5000 -c 30 -o csv http://localhost:8080,0,90000,89999,1,0.0011111111111111111,375.0,0.004166666666666667,16000.0,52300.0,90700.0,98900.0,29691.44101601129,"{""200"": 89999, ""503"": 1}"
8,prequal,20,0.75,75,0.66,.66,0.66,2.0,375,30,240,2026-07-06T09:27:37,2026-07-06T09:31:40,hey -z 240s -q 12.5000 -c 30 -o csv http://localhost:8080,0,89999,89998,1,0.0011111234569272993,374.99583333333334,0.004166666666666667,15900.000000000002,52300.0,90400.0,99400.0,29465.86590813129,"{""200"": 89998, ""503"": 1}"
9,prequal,20,0.75,75,0.73,.73,0.73,2.0,375,30,240,2026-07-06T09:32:05,2026-07-06T09:36:08,hey -z 240s -q 12.5000 -c 30 -o csv http://localhost:8080,0,90000,90000,0,0.0,375.0,0.0,15900.000000000002,52500.0,89800.0,99000.0,29495.577777777777,"{""200"": 90000}"
10,prequal,20,0.75,75,0.81,.81,0.81,2.0,375,30,240,2026-07-06T09:36:33,2026-07-06T09:40:36,hey -z 240s -q 12.5000 -c 30 -o csv http://localhost:8080,0,89998,89997,1,0.0011111358030178448,374.9916666666667,0.004166666666666667,15900.000000000002,52300.0,90300.0,98700.0,29383.453892907542,"{""200"": 89997, ""503"": 1}"
11,prequal,20,0.75,75,0.9,.90,0.9,2.0,375,30,240,2026-07-06T09:41:01,2026-07-06T09:45:04,hey -z 240s -q 12.5000 -c 30 -o csv http://localhost:8080,0,90000,90000,0,0.0,375.0,0.0,15800.000000000002,52300.0,90300.0,99100.0,29362.0,"{""200"": 90000}"
12,prequal,20,0.75,75,0.99,.99,0.99,2.0,375,30,240,2026-07-06T09:45:29,2026-07-06T09:49:32,hey -z 240s -q 12.5000 -c 30 -o csv http://localhost:8080,0,90000,90000,0,0.0,375.0,0.0,16000.0,52400.0,90200.0,99800.0,29369.76,"{""200"": 90000}"
13,prequal,20,0.75,75,0.999,.999,0.999,2.0,375,30,240,2026-07-06T09:49:57,2026-07-06T09:54:00,hey -z 240s -q 12.5000 -c 30 -o csv http://localhost:8080,0,89998,89997,1,0.0011111358030178448,374.9916666666667,0.004166666666666667,16200.0,52700.0,90400.0,100100.0,30062.032067735592,"{""200"": 89997, ""503"": 1}"
14,prequal,20,0.75,75,1.0,1.0,1.0,2.0,375,30,240,2026-07-06T09:54:25,2026-07-06T09:58:28,hey -z 240s -q 12.5000 -c 30 -o csv http://localhost:8080,0,90000,89999,1,0.0011111111111111111,375.0,0.004166666666666667,15600.0,52500.0,90200.0,102000.0,29262.587362081802,"{""200"": 89999, ""503"": 1}"
