response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0101,0.0006,0.0003,0.0005,0.0086,0.0001,200,0.0599
0.0420,0.0014,0.0007,0.0002,0.0403,0.0001,200,0.0599
0.0436,0.0016,0.0010,0.0001,0.0417,0.0001,200,0.0596
0.0441,0.0010,0.0006,0.0004,0.0426,0.0001,200,0.0600
0.0475,0.0013,0.0006,0.0002,0.0457,0.0001,200,0.0598
0.0489,0.0016,0.0012,0.0000,0.0470,0.0001,200,0.0596
0.0120,0.0000,0.0000,0.0000,0.0119,0.0001,200,0.1161
0.0849,0.0013,0.0007,0.0001,0.0832,0.0001,200,0.0597
0.0854,0.0015,0.0009,0.0001,0.0835,0.0001,200,0.0595
0.0105,0.0000,0.0000,0.0000,0.0104,0.0000,200,0.1446
0.0125,0.0000,0.0000,0.0000,0.0124,0.0001,200,0.1450
0.0435,0.0000,0.0000,0.0001,0.0431,0.0001,200,0.1161
0.0447,0.0000,0.0000,0.0000,0.0446,0.0001,200,0.1161
0.0456,0.0000,0.0000,0.0000,0.0454,0.0001,200,0.1159
0.0088,0.0000,0.0000,0.0000,0.0087,0.0001,200,0.1719
0.0100,0.0000,0.0000,0.0000,0.0098,0.0001,200,0.1719
0.0128,0.0000,0.0000,0.0000,0.0127,0.0001,200,0.1719
0.0694,0.0000,0.0000,0.0000,0.0693,0.0001,200,0.1160
0.0728,0.0000,0.0000,0.0000,0.0726,0.0001,200,0.1161
0.0079,0.0000,0.0000,0.0000,0.0078,0.0001,200,0.1854
0.0415,0.0000,0.0000,0.0000,0.0414,0.0001,200,0.1718
0.0572,0.0000,0.0000,0.0000,0.0571,0.0001,200,0.1719
0.0626,0.0000,0.0000,0.0000,0.0625,0.0001,200,0.1719
0.0472,0.0000,0.0000,0.0000,0.0471,0.0001,200,0.1888
0.0086,0.0000,0.0000,0.0000,0.0084,0.0001,200,0.2287
0.0102,0.0000,0.0000,0.0000,0.0101,0.0001,200,0.2287
0.0379,0.0000,0.0000,0.0000,0.0378,0.0001,200,0.2360
0.0474,0.0000,0.0000,0.0000,0.0473,0.0001,200,0.2286
0.0486,0.0000,0.0000,0.0000,0.0485,0.0001,200,0.2292
0.0517,0.0000,0.0000,0.0000,0.0515,0.0001,200,0.2287
0.0485,0.0000,0.0000,0.0000,0.0484,0.0001,200,0.2345
0.0107,0.0000,0.0000,0.0000,0.0105,0.0001,200,0.2844
0.0114,0.0000,0.0000,0.0000,0.0113,0.0001,200,0.2842
0.0118,0.0000,0.0000,0.0000,0.0117,0.0001,200,0.2844
0.0688,0.0000,0.0000,0.0000,0.0687,0.0001,200,0.2287
0.0451,0.0000,0.0000,0.0000,0.0450,0.0001,200,0.2842
0.0458,0.0000,0.0000,0.0000,0.0457,0.0000,200,0.2843
0.0459,0.0000,0.0000,0.0000,0.0458,0.0000,200,0.2844
0.0629,0.0000,0.0000,0.0001,0.0628,0.0000,200,0.2843
0.0081,0.0000,0.0000,0.0000,0.0080,0.0001,200,0.3407
0.0100,0.0000,0.0000,0.0000,0.0099,0.0000,200,0.3409
0.0126,0.0000,0.0000,0.0000,0.0125,0.0001,200,0.3408
0.0741,0.0000,0.0000,0.0000,0.0740,0.0001,200,0.2976
0.0084,0.0000,0.0000,0.0000,0.0082,0.0001,200,0.3717
0.0461,0.0000,0.0000,0.0000,0.0459,0.0000,200,0.3408
0.0528,0.0000,0.0000,0.0000,0.0527,0.0001,200,0.3408
0.0488,0.0000,0.0000,0.0000,0.0487,0.0000,200,0.3472
0.0081,0.0000,0.0000,0.0000,0.0079,0.0001,200,0.3971
0.0121,0.0000,0.0000,0.0000,0.0120,0.0001,200,0.3973
0.0123,0.0000,0.0000,0.0000,0.0122,0.0001,200,0.3971
0.0746,0.0000,0.0000,0.0000,0.0745,0.0001,200,0.3409
0.0120,0.0000,0.0000,0.0000,0.0119,0.0001,200,0.4155
0.0402,0.0000,0.0000,0.0000,0.0401,0.0001,200,0.3971
0.0445,0.0000,0.0000,0.0000,0.0443,0.0001,200,0.3972
0.0453,0.0000,0.0000,0.0000,0.0452,0.0001,200,0.3972
0.0507,0.0000,0.0000,0.0000,0.0504,0.0000,200,0.3973
0.0096,0.0000,0.0000,0.0000,0.0095,0.0000,200,0.4538
0.0114,0.0000,0.0000,0.0000,0.0113,0.0001,200,0.4536
0.0114,0.0000,0.0000,0.0001,0.0112,0.0000,200,0.4537
0.0401,0.0000,0.0000,0.0000,0.0400,0.0001,200,0.4537
0.0431,0.0000,0.0000,0.0000,0.0430,0.0000,200,0.4537
0.0469,0.0000,0.0000,0.0000,0.0468,0.0001,200,0.4537
0.0480,0.0000,0.0000,0.0000,0.0478,0.0001,200,0.4537
0.0515,0.0000,0.0000,0.0000,0.0514,0.0001,200,0.4537
0.0087,0.0000,0.0000,0.0000,0.0086,0.0001,200,0.5096
0.0119,0.0000,0.0000,0.0000,0.0118,0.0001,200,0.5094
0.0451,0.0000,0.0000,0.0000,0.0449,0.0001,200,0.5095
0.0451,0.0000,0.0000,0.0000,0.0450,0.0001,200,0.5096
0.0458,0.0000,0.0000,0.0000,0.0457,0.0001,200,0.5096
0.0475,0.0000,0.0000,0.0000,0.0474,0.0001,200,0.5096
0.0485,0.0000,0.0000,0.0000,0.0483,0.0001,200,0.5095
0.0088,0.0000,0.0000,0.0000,0.0086,0.0001,200,0.5664
0.0099,0.0000,0.0000,0.0000,0.0098,0.0001,200,0.5665
0.0115,0.0000,0.0000,0.0000,0.0114,0.0001,200,0.5665
0.0707,0.0000,0.0000,0.0000,0.0706,0.0001,200,0.5097
0.0443,0.0000,0.0000,0.0000,0.0441,0.0001,200,0.5666
