response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0116,0.0008,0.0004,0.0004,0.0102,0.0001,200,0.0437
0.0436,0.0009,0.0005,0.0000,0.0426,0.0001,200,0.0436
0.0459,0.0011,0.0009,0.0001,0.0445,0.0001,200,0.0433
0.0484,0.0009,0.0007,0.0000,0.0472,0.0001,200,0.0435
0.0485,0.0008,0.0005,0.0001,0.0474,0.0001,200,0.0435
0.0509,0.0009,0.0007,0.0001,0.0498,0.0001,200,0.0435
0.0086,0.0000,0.0000,0.0000,0.0085,0.0001,200,0.0893
0.0110,0.0000,0.0000,0.0000,0.0109,0.0001,200,0.0944
0.0688,0.0005,0.0002,0.0001,0.0677,0.0001,200,0.0434
0.0750,0.0008,0.0004,0.0001,0.0739,0.0001,200,0.0435
0.0452,0.0000,0.0000,0.0000,0.0451,0.0001,200,0.0872
0.0526,0.0000,0.0000,0.0001,0.0522,0.0001,200,0.0845
0.0112,0.0000,0.0000,0.0000,0.0111,0.0001,200,0.1325
0.0125,0.0000,0.0000,0.0000,0.0124,0.0001,200,0.1370
0.0595,0.0000,0.0000,0.0000,0.0594,0.0001,200,0.0918
0.0398,0.0000,0.0000,0.0000,0.0397,0.0001,200,0.1122
0.0470,0.0000,0.0000,0.0000,0.0468,0.0002,200,0.1185
0.0078,0.0000,0.0000,0.0000,0.0076,0.0001,200,0.1655
0.0100,0.0000,0.0000,0.0000,0.0099,0.0001,200,0.1655
0.0526,0.0000,0.0000,0.0000,0.0525,0.0000,200,0.1250
0.0538,0.0000,0.0000,0.0000,0.0536,0.0001,200,0.1250
0.0876,0.0000,0.0000,0.0000,0.0875,0.0001,200,0.0920
0.0084,0.0000,0.0000,0.0000,0.0083,0.0001,200,0.1776
0.0090,0.0000,0.0000,0.0000,0.0089,0.0000,200,0.1796
0.0549,0.0000,0.0000,0.0000,0.0547,0.0002,200,0.1520
0.0100,0.0000,0.0000,0.0000,0.0099,0.0001,200,0.2068
0.0109,0.0000,0.0000,0.0000,0.0107,0.0001,200,0.2069
0.0708,0.0000,0.0000,0.0000,0.0707,0.0001,200,0.1514
0.0589,0.0000,0.0000,0.0000,0.0588,0.0001,200,0.1654
0.0505,0.0000,0.0000,0.0000,0.0504,0.0000,200,0.1788
0.0094,0.0000,0.0000,0.0000,0.0093,0.0001,200,0.2242
0.0486,0.0000,0.0000,0.0000,0.0485,0.0001,200,0.2069
0.0490,0.0000,0.0000,0.0000,0.0489,0.0001,200,0.2070
0.0104,0.0000,0.0000,0.0000,0.0103,0.0000,200,0.2480
0.0405,0.0000,0.0000,0.0000,0.0405,0.0000,200,0.2222
0.0575,0.0000,0.0000,0.0000,0.0574,0.0001,200,0.2069
0.0093,0.0000,0.0000,0.0000,0.0093,0.0001,200,0.2560
0.0478,0.0000,0.0000,0.0000,0.0477,0.0001,200,0.2293
