response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0108,0.0007,0.0004,0.0002,0.0091,0.0001,200,0.0396
0.0107,0.0016,0.0007,0.0001,0.0088,0.0001,200,0.0397
0.0130,0.0010,0.0004,0.0002,0.0115,0.0001,200,0.0398
0.0131,0.0011,0.0004,0.0001,0.0114,0.0001,200,0.0397
0.0419,0.0010,0.0002,0.0001,0.0402,0.0001,200,0.0399
0.0467,0.0011,0.0008,0.0001,0.0452,0.0001,200,0.0396
0.0477,0.0014,0.0007,0.0001,0.0460,0.0001,200,0.0398
0.0123,0.0000,0.0000,0.0000,0.0121,0.0001,200,0.0761
0.0435,0.0000,0.0000,0.0000,0.0433,0.0001,200,0.0761
0.0806,0.0016,0.0009,0.0000,0.0787,0.0001,200,0.0396
0.0477,0.0000,0.0000,0.0000,0.0476,0.0001,200,0.0761
0.0500,0.0000,0.0000,0.0000,0.0499,0.0001,200,0.0761
0.0445,0.0000,0.0000,0.0000,0.0444,0.0001,200,0.0818
0.0440,0.0000,0.0000,0.0000,0.0439,0.0001,200,0.0864
0.0088,0.0000,0.0000,0.0000,0.0087,0.0001,200,0.1238
0.0492,0.0000,0.0000,0.0000,0.0491,0.0001,200,0.0875
0.0107,0.0000,0.0000,0.0000,0.0105,0.0001,200,0.1261
0.0116,0.0000,0.0000,0.0000,0.0115,0.0001,200,0.1367
0.0087,0.0000,0.0000,0.0000,0.0086,0.0001,200,0.1496
0.0522,0.0000,0.0000,0.0000,0.0520,0.0001,200,0.1126
0.0466,0.0000,0.0000,0.0000,0.0465,0.0001,200,0.1263
0.0539,0.0000,0.0000,0.0000,0.0538,0.0001,200,0.1195
0.0097,0.0000,0.0000,0.0000,0.0096,0.0001,200,0.1648
0.0617,0.0000,0.0000,0.0000,0.0616,0.0001,200,0.1202
0.0102,0.0000,0.0000,0.0000,0.0100,0.0001,200,0.1735
0.0114,0.0000,0.0000,0.0000,0.0113,0.0001,200,0.1870
0.0513,0.0000,0.0000,0.0001,0.0511,0.0001,200,0.1495
0.0117,0.0000,0.0000,0.0000,0.0116,0.0001,200,0.2008
0.0832,0.0000,0.0000,0.0000,0.0831,0.0001,200,0.1304
0.0477,0.0000,0.0000,0.0000,0.0476,0.0001,200,0.1730
0.0118,0.0000,0.0000,0.0000,0.0117,0.0000,200,0.2136
0.0764,0.0000,0.0000,0.0000,0.0763,0.0000,200,0.1495
0.0422,0.0000,0.0000,0.0000,0.0421,0.0001,200,0.1870
0.0474,0.0000,0.0000,0.0000,0.0473,0.0000,200,0.1818
0.0088,0.0000,0.0000,0.0000,0.0087,0.0001,200,0.2230
0.0454,0.0000,0.0000,0.0000,0.0453,0.0000,200,0.1869
0.0101,0.0000,0.0000,0.0001,0.0100,0.0001,200,0.2229
0.0101,0.0000,0.0000,0.0000,0.0100,0.0001,200,0.2254
0.0437,0.0000,0.0000,0.0000,0.0436,0.0001,200,0.2206
0.0411,0.0000,0.0000,0.0000,0.0410,0.0001,200,0.2260
0.0408,0.0000,0.0000,0.0000,0.0407,0.0001,200,0.2292
0.0113,0.0000,0.0000,0.0000,0.0112,0.0001,200,0.2599
0.0462,0.0000,0.0000,0.0000,0.0461,0.0000,200,0.2324
0.0494,0.0000,0.0000,0.0000,0.0493,0.0001,200,0.2291
0.0090,0.0000,0.0000,0.0000,0.0089,0.0001,200,0.2700
0.0094,0.0000,0.0000,0.0000,0.0093,0.0000,200,0.2786
0.0081,0.0000,0.0000,0.0000,0.0080,0.0001,200,0.2964
0.0463,0.0000,0.0000,0.0000,0.0461,0.0001,200,0.2599
0.0420,0.0000,0.0000,0.0000,0.0419,0.0001,200,0.2643
0.0478,0.0000,0.0000,0.0000,0.0477,0.0001,200,0.2598
0.0078,0.0000,0.0000,0.0000,0.0077,0.0001,200,0.3063
0.0113,0.0000,0.0000,0.0000,0.0112,0.0001,200,0.3062
0.0118,0.0000,0.0000,0.0000,0.0117,0.0001,200,0.3077
0.0501,0.0000,0.0000,0.0001,0.0500,0.0001,200,0.2785
0.0666,0.0000,0.0000,0.0000,0.0665,0.0001,200,0.2670
0.0439,0.0000,0.0000,0.0000,0.0437,0.0001,200,0.2965
0.0082,0.0000,0.0000,0.0000,0.0081,0.0001,200,0.3331
0.0100,0.0000,0.0000,0.0000,0.0098,0.0000,200,0.3331
0.0111,0.0000,0.0000,0.0001,0.0109,0.0001,200,0.3337
0.0118,0.0000,0.0000,0.0000,0.0117,0.0001,200,0.3330
0.0093,0.0000,0.0000,0.0000,0.0092,0.0001,200,0.3404
0.0534,0.0000,0.0000,0.0001,0.0533,0.0001,200,0.2963
0.0115,0.0000,0.0000,0.0000,0.0114,0.0001,200,0.3498
0.0412,0.0000,0.0000,0.0000,0.0411,0.0001,200,0.3286
0.0401,0.0000,0.0000,0.0000,0.0400,0.0000,200,0.3330
0.0080,0.0000,0.0000,0.0000,0.0079,0.0001,200,0.3697
0.0087,0.0000,0.0000,0.0000,0.0086,0.0000,200,0.3696
0.0087,0.0000,0.0000,0.0000,0.0085,0.0001,200,0.3697
0.0119,0.0000,0.0000,0.0000,0.0118,0.0001,200,0.3731
0.0415,0.0000,0.0000,0.0000,0.0414,0.0001,200,0.3698
0.0424,0.0000,0.0000,0.0000,0.0423,0.0001,200,0.3697
0.0424,0.0000,0.0000,0.0000,0.0422,0.0001,200,0.3698
0.0428,0.0000,0.0000,0.0000,0.0427,0.0000,200,0.3696
0.0081,0.0000,0.0000,0.0000,0.0079,0.0001,200,0.4064
0.0113,0.0000,0.0000,0.0000,0.0112,0.0001,200,0.4065
0.0133,0.0000,0.0000,0.0000,0.0132,0.0001,200,0.4121
0.0445,0.0000,0.0000,0.0000,0.0442,0.0001,200,0.4064
0.0453,0.0000,0.0000,0.0001,0.0451,0.0001,200,0.4065
0.0436,0.0000,0.0000,0.0000,0.0435,0.0001,200,0.4124
0.0084,0.0000,0.0000,0.0000,0.0082,0.0001,200,0.4509
0.0482,0.0000,0.0000,0.0000,0.0481,0.0001,200,0.4112
0.0498,0.0000,0.0000,0.0000,0.0496,0.0001,200,0.4122
0.0102,0.0000,0.0000,0.0000,0.0101,0.0001,200,0.4560
0.0099,0.0000,0.0000,0.0000,0.0097,0.0001,200,0.4794
0.0494,0.0000,0.0000,0.0000,0.0492,0.0001,200,0.4438
0.0556,0.0000,0.0000,0.0000,0.0555,0.0000,200,0.4438
0.0084,0.0000,0.0000,0.0000,0.0083,0.0001,200,0.4932
0.0598,0.0000,0.0000,0.0000,0.0597,0.0001,200,0.4438
0.0483,0.0000,0.0000,0.0000,0.0482,0.0001,200,0.4619
0.0113,0.0000,0.0000,0.0000,0.0112,0.0001,200,0.4995
0.0085,0.0000,0.0000,0.0000,0.0084,0.0001,200,0.5036
0.0426,0.0000,0.0000,0.0000,0.0424,0.0001,200,0.4796
0.0120,0.0000,0.0000,0.0000,0.0119,0.0001,200,0.5102
0.0087,0.0000,0.0000,0.0000,0.0086,0.0001,200,0.5165
0.0087,0.0000,0.0000,0.0000,0.0086,0.0000,200,0.5221
0.0811,0.0000,0.0000,0.0000,0.0810,0.0001,200,0.4518
0.0776,0.0000,0.0000,0.0000,0.0774,0.0001,200,0.4594
0.0110,0.0000,0.0000,0.0000,0.0109,0.0001,200,0.5370
0.0079,0.0000,0.0000,0.0000,0.0077,0.0001,200,0.5533
0.0488,0.0000,0.0000,0.0000,0.0487,0.0001,200,0.5164
0.0435,0.0000,0.0000,0.0000,0.0434,0.0001,200,0.5222
0.0493,0.0000,0.0000,0.0000,0.0492,0.0001,200,0.5165
0.0080,0.0000,0.0000,0.0000,0.0079,0.0001,200,0.5658
0.0416,0.0000,0.0000,0.0000,0.0415,0.0001,200,0.5329
0.0636,0.0000,0.0000,0.0000,0.0635,0.0001,200,0.5164
0.0104,0.0000,0.0000,0.0000,0.0103,0.0001,200,0.5800
0.0101,0.0000,0.0000,0.0000,0.0100,0.0001,200,0.5904
0.0498,0.0000,0.0000,0.0000,0.0495,0.0001,200,0.5533
0.0535,0.0000,0.0000,0.0000,0.0532,0.0001,200,0.5533
0.0437,0.0000,0.0000,0.0000,0.0436,0.0000,200,0.5658
0.0119,0.0000,0.0000,0.0000,0.0118,0.0001,200,0.6030
0.0415,0.0000,0.0000,0.0000,0.0414,0.0001,200,0.5745
0.0092,0.0000,0.0000,0.0000,0.0091,0.0001,200,0.6095
0.0555,0.0000,0.0000,0.0000,0.0554,0.0001,200,0.5652
0.0081,0.0000,0.0000,0.0000,0.0079,0.0001,200,0.6207
0.0397,0.0000,0.0000,0.0000,0.0396,0.0001,200,0.5905
0.0092,0.0000,0.0000,0.0000,0.0091,0.0001,200,0.6302
0.0125,0.0000,0.0000,0.0000,0.0124,0.0001,200,0.6288
