response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0119,0.0013,0.0009,0.0002,0.0101,0.0001,200,0.0538
0.0123,0.0010,0.0007,0.0001,0.0108,0.0001,200,0.0540
0.0122,0.0011,0.0006,0.0001,0.0109,0.0000,200,0.0541
0.0122,0.0008,0.0002,0.0001,0.0110,0.0001,200,0.0542
0.0140,0.0012,0.0008,0.0001,0.0126,0.0001,200,0.0539
0.0155,0.0010,0.0006,0.0002,0.0141,0.0001,200,0.0539
0.0153,0.0011,0.0009,0.0001,0.0141,0.0000,200,0.0542
0.0159,0.0012,0.0008,0.0001,0.0142,0.0001,200,0.0538
0.0110,0.0000,0.0000,0.0000,0.0108,0.0001,200,0.1039
0.0109,0.0000,0.0000,0.0000,0.0107,0.0001,200,0.1040
0.0110,0.0000,0.0000,0.0000,0.0108,0.0001,200,0.1040
0.0115,0.0000,0.0000,0.0000,0.0114,0.0001,200,0.1039
0.0114,0.0000,0.0000,0.0000,0.0113,0.0001,200,0.1040
0.0131,0.0000,0.0000,0.0000,0.0130,0.0000,200,0.1039
0.0148,0.0000,0.0000,0.0001,0.0146,0.0001,200,0.1039
0.0148,0.0000,0.0000,0.0000,0.0147,0.0001,200,0.1039
0.0106,0.0000,0.0000,0.0000,0.0104,0.0001,200,0.1540
0.0109,0.0000,0.0000,0.0000,0.0108,0.0001,200,0.1540
0.0110,0.0000,0.0000,0.0000,0.0109,0.0001,200,0.1541
0.0113,0.0000,0.0000,0.0000,0.0111,0.0001,200,0.1540
0.0138,0.0000,0.0000,0.0000,0.0136,0.0001,200,0.1540
0.0140,0.0000,0.0000,0.0000,0.0139,0.0001,200,0.1539
0.0137,0.0000,0.0000,0.0000,0.0136,0.0001,200,0.1541
0.0140,0.0000,0.0000,0.0000,0.0139,0.0001,200,0.1540
0.0077,0.0000,0.0000,0.0000,0.0076,0.0001,200,0.2042
0.0079,0.0000,0.0000,0.0000,0.0077,0.0000,200,0.2041
0.0108,0.0000,0.0000,0.0000,0.0106,0.0001,200,0.2042
0.0111,0.0000,0.0000,0.0000,0.0110,0.0001,200,0.2042
0.0118,0.0000,0.0000,0.0000,0.0117,0.0001,200,0.2042
0.0118,0.0000,0.0000,0.0000,0.0117,0.0000,200,0.2043
0.0124,0.0000,0.0000,0.0000,0.0123,0.0001,200,0.2043
0.0149,0.0000,0.0000,0.0000,0.0148,0.0001,200,0.2043
0.0082,0.0000,0.0000,0.0000,0.0081,0.0001,200,0.2546
0.0090,0.0000,0.0000,0.0000,0.0089,0.0000,200,0.2547
0.0097,0.0000,0.0000,0.0000,0.0095,0.0001,200,0.2548
0.0102,0.0000,0.0000,0.0000,0.0101,0.0001,200,0.2548
