response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0108,0.0012,0.0007,0.0003,0.0089,0.0002,200,0.0489
0.0114,0.0009,0.0007,0.0004,0.0097,0.0001,200,0.0489
0.0137,0.0012,0.0006,0.0002,0.0118,0.0000,200,0.0488
0.0139,0.0008,0.0003,0.0005,0.0121,0.0001,200,0.0489
0.0139,0.0011,0.0009,0.0003,0.0123,0.0001,200,0.0489
0.0467,0.0012,0.0009,0.0006,0.0446,0.0001,200,0.0487
0.0522,0.0010,0.0007,0.0007,0.0501,0.0001,200,0.0489
0.0074,0.0000,0.0000,0.0000,0.0072,0.0000,200,0.0940
0.0107,0.0000,0.0000,0.0000,0.0107,0.0000,200,0.0941
0.0112,0.0000,0.0000,0.0001,0.0111,0.0000,200,0.0941
0.0110,0.0000,0.0000,0.0000,0.0110,0.0000,200,0.0955
0.0126,0.0000,0.0000,0.0000,0.0125,0.0001,200,0.1011
0.0839,0.0012,0.0009,0.0008,0.0818,0.0001,200,0.0489
0.0473,0.0000,0.0000,0.0000,0.0471,0.0001,200,0.0941
0.0110,0.0000,0.0000,0.0000,0.0109,0.0001,200,0.1328
0.0498,0.0000,0.0000,0.0000,0.0497,0.0001,200,0.0940
0.0069,0.0000,0.0000,0.0000,0.0068,0.0001,200,0.1393
0.0096,0.0000,0.0000,0.0000,0.0095,0.0001,200,0.1393
0.0102,0.0000,0.0000,0.0000,0.0101,0.0001,200,0.1414
0.0084,0.0000,0.0000,0.0000,0.0083,0.0000,200,0.1439
0.0101,0.0000,0.0000,0.0000,0.0100,0.0001,200,0.1438
0.0464,0.0000,0.0000,0.0000,0.0459,0.0004,200,0.1392
0.0463,0.0000,0.0000,0.0000,0.0462,0.0001,200,0.1393
0.0488,0.0000,0.0000,0.0000,0.0487,0.0000,200,0.1391
0.0075,0.0000,0.0000,0.0000,0.0073,0.0001,200,0.1880
0.0473,0.0000,0.0000,0.0000,0.0472,0.0001,200,0.1854
0.0471,0.0000,0.0000,0.0000,0.0470,0.0001,200,0.1856
0.0476,0.0000,0.0000,0.0000,0.0475,0.0001,200,0.1854
0.0495,0.0000,0.0000,0.0000,0.0493,0.0001,200,0.1854
0.0494,0.0000,0.0000,0.0000,0.0493,0.0000,200,0.1855
