phase,algo,servers,load_frac,load_pct,target_qps,workers,duration_s,started,ended,command,returncode,total_responses,ok_responses,error_responses,error_pct,response_qps,error_qps,p50_us,p90_us,p99_us,p99_9_us,avg_us,status_dist
1,wrr,20,0.75,75,375,30,240,2026-07-06T21:38:51,2026-07-06T21:42:54,hey -z 240s -q 12.5000 -c 30 -o csv http://localhost:8081,0,89998,89995,3,0.0033334074090535346,374.9916666666667,0.0125,15699.999999999998,52200.0,91100.0,109200.0,30983.336852047338,"{""200"": 89995, ""503"": 3}"
2,prequal,20,0.75,75,375,30,240,2026-07-06T21:42:54,2026-07-06T21:46:57,hey -z 240s -q 12.5000 -c 30 -o csv http://localhost:8080,0,90000,90000,0,0.0,375.0,0.0,15800.000000000002,52200.0,90000.0,98600.0,29397.301111111112,"{""200"": 90000}"
3,wrr,20,0.83,83,415,30,240,2026-07-06T21:46:58,2026-07-06T21:51:01,hey -z 240s -q 13.8333 -c 30 -o csv http://localhost:8081,0,99598,99593,5,0.0050201811281351035,414.9916666666667,0.020833333333333332,37700.0,53800.0,90700.0,109800.0,31037.234544596507,"{""200"": 99593, ""503"": 5}"
4,prequal,20,0.83,83,415,30,240,2026-07-06T21:51:02,2026-07-06T21:55:05,hey -z 240s -q 13.8333 -c 30 -o csv http://localhost:8080,0,99597,99594,3,0.0030121389198469834,414.9875,0.0125,15600.0,52500.0,90500.0,102700.0,29370.07550655662,"{""200"": 99594, ""503"": 3}"
5,wrr,20,0.93,93,465,30,240,2026-07-06T21:55:06,2026-07-06T21:59:10,hey -z 240s -q 15.5000 -c 30 -o csv http://localhost:8081,0,111549,111543,6,0.005378802140763252,464.7875,0.025,37700.0,56900.0,91100.0,114600.0,31298.14600647284,"{""200"": 111543, ""503"": 6}"
6,prequal,20,0.93,93,465,30,240,2026-07-06T21:59:10,2026-07-06T22:03:14,hey -z 240s -q 15.5000 -c 30 -o csv http://localhost:8080,0,111564,111564,0,0.0,464.85,0.0,15300.0,52600.0,90600.0,107600.0,29144.02136890036,"{""200"": 111564}"
7,wrr,20,1.03,103,515,30,240,2026-07-06T22:03:15,2026-07-06T22:07:19,hey -z 240s -q 17.1667 -c 30 -o csv http://localhost:8081,0,123244,123217,27,0.021907760215507447,513.5166666666667,0.1125,37900.0,59400.0,92400.0,120300.0,31524.513662887428,"{""200"": 123217, ""503"": 27}"
8,prequal,20,1.03,103,515,30,240,2026-07-06T22:07:20,2026-07-06T22:11:24,hey -z 240s -q 17.1667 -c 30 -o csv http://localhost:8080,0,123507,123503,4,0.003238682827693977,514.6125,0.016666666666666666,15000.0,52400.0,90300.0,110400.0,28648.697602487387,"{""200"": 123503, ""503"": 4}"
9,wrr,20,1.14,114,570,30,240,2026-07-06T22:11:25,2026-07-06T22:15:29,hey -z 240s -q 19.0000 -c 30 -o csv http://localhost:8081,0,135543,135502,41,0.03024870336350826,564.7625,0.17083333333333334,15400.0,62500.0,94000.0,122300.0,31828.75381913182,"{""200"": 135502, ""503"": 41}"
10,prequal,20,1.14,114,570,30,240,2026-07-06T22:15:30,2026-07-06T22:19:35,hey -z 240s -q 19.0000 -c 30 -o csv http://localhost:8080,0,136688,136687,1,0.0007315931171719537,569.5333333333333,0.004166666666666667,14700.0,52600.0,89700.0,101500.0,28476.228170930666,"{""200"": 136687, ""503"": 1}"
11,wrr,20,1.27,127,635,30,240,2026-07-06T22:19:36,2026-07-06T22:23:41,hey -z 240s -q 21.1667 -c 30 -o csv http://localhost:8081,0,148504,148447,57,0.0383828045035824,618.7666666666667,0.2375,15200.0,66400.0,98300.0,126000.0,32349.450645684992,"{""200"": 148447, ""503"": 57}"
12,prequal,20,1.27,127,635,30,240,2026-07-06T22:23:42,2026-07-06T22:27:47,hey -z 240s -q 21.1667 -c 30 -o csv http://localhost:8080,0,151746,151742,4,0.0026359838150593756,632.275,0.016666666666666666,13800.0,52200.0,87900.0,99300.0,27765.833454152442,"{""200"": 151742, ""503"": 4}"
13,wrr,20,1.41,141,705,30,240,2026-07-06T22:27:48,2026-07-06T22:31:53,hey -z 240s -q 23.5000 -c 30 -o csv http://localhost:8081,0,156200,156058,142,0.09090909090909091,650.8333333333334,0.5916666666666667,14600.0,66500.0,102000.0,128800.0,32742.28427892194,"{""200"": 156058, ""503"": 142}"
14,prequal,20,1.41,141,705,30,240,2026-07-06T22:31:54,2026-07-06T22:35:59,hey -z 240s -q 23.5000 -c 30 -o csv http://localhost:8080,0,167838,167838,0,0.0,699.325,0.0,12400.0,49000.0,77600.0,92300.0,22075.186191446515,"{""200"": 167838}"
