phase,servers,load_frac,load_pct,qrif,qrif_label,qrif_runtime,probe_rate,target_qps,timestamp,elapsed_s,rif_p50,rif_p90,rif_p99,rif_limit,sample_count,rif_values
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T12:56:37.095,25.515,0.0,3.0,5.0,0.0,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 3.0, 4.0, 5.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T12:56:37.597,26.016,3.0,5.0,6.0,0.0,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 3.0, 3.0, 3.0, 3.0, 3.0, 4.0, 5.0, 5.0, 5.0, 6.0, 6.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T12:56:38.099,26.518,5.0,9.0,12.0,2.0,20,"[2.0, 3.0, 3.0, 3.0, 4.0, 4.0, 4.0, 4.0, 4.0, 5.0, 5.0, 6.0, 6.0, 6.0, 6.0, 6.0, 7.0, 9.0, 10.0, 12.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T12:56:38.601,27.02,0.0,1.0,3.0,0.0,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 3.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T12:56:39.102,27.521,1.0,4.0,4.0,0.0,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 2.0, 3.0, 3.0, 3.0, 4.0, 4.0, 4.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T12:56:39.604,28.023,4.0,9.0,10.0,0.0,20,"[0.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 4.0, 4.0, 4.0, 5.0, 5.0, 6.0, 6.0, 7.0, 7.0, 8.0, 9.0, 9.0, 10.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T12:56:40.106,28.525,4.0,8.0,10.0,1.0,20,"[1.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0, 4.0, 4.0, 4.0, 5.0, 5.0, 6.0, 6.0, 7.0, 7.0, 7.0, 8.0, 9.0, 10.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T12:56:40.608,29.027,0.0,5.0,7.0,0.0,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 5.0, 7.0, 7.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T12:56:41.109,29.528,3.0,7.0,8.0,0.0,20,"[0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 3.0, 3.0, 3.0, 4.0, 4.0, 5.0, 5.0, 5.0, 6.0, 7.0, 7.0, 8.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T12:56:41.614,30.033,6.0,8.0,9.0,1.0,20,"[1.0, 2.0, 3.0, 4.0, 4.0, 5.0, 5.0, 5.0, 5.0, 6.0, 6.0, 7.0, 7.0, 7.0, 7.0, 8.0, 8.0, 8.0, 8.0, 9.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T12:56:42.116,30.535,0.0,1.0,4.0,0.0,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 4.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T12:56:42.617,31.036,1.0,3.0,3.0,0.0,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T12:56:43.119,31.538,4.0,8.0,9.0,1.0,20,"[1.0, 1.0, 1.0, 3.0, 3.0, 3.0, 3.0, 3.0, 4.0, 4.0, 5.0, 5.0, 5.0, 6.0, 7.0, 7.0, 8.0, 8.0, 8.0, 9.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T12:56:43.638,32.057,6.0,8.0,9.0,2.0,20,"[2.0, 2.0, 3.0, 3.0, 3.0, 5.0, 5.0, 5.0, 5.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 8.0, 8.0, 8.0, 8.0, 9.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T12:56:44.140,32.559,0.0,1.0,3.0,0.0,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 3.0, 3.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T12:56:44.641,33.06,1.0,5.0,7.0,0.0,20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 3.0, 3.0, 4.0, 5.0, 5.0, 6.0, 7.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T12:56:45.144,33.563,5.0,8.0,9.0,3.0,20,"[3.0, 3.0, 3.0, 4.0, 4.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 7.0, 7.0, 7.0, 7.0, 7.0, 8.0, 8.0, 9.0]"
1,20,0.75,75,0.0,0,0.0,3.0,1125,2026-07-08T12:56:45.646,34.065,2.0,4.0,9.0,0.0,20,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0, 3.0, 3.0, 4.0, 4.0, 4.0, 5.0, 9.0]"
