phase,algo,servers,load_frac,load_pct,target_qps,host,server_index,timestamp,elapsed_s,host_cpu_pct
1,wrr,10,0.75,75,188,bhost7,7,2026-07-06T20:25:19,11.023,1.126700680272108
1,wrr,10,0.75,75,188,bhost10,10,2026-07-06T20:25:19,11.023,0.8688281415554111
1,wrr,10,0.75,75,188,bhost1,1,2026-07-06T20:25:19,11.023,1.3695698694628722
1,wrr,10,0.75,75,188,bhost9,9,2026-07-06T20:25:19,11.023,1.410557811498181
1,wrr,10,0.75,75,188,bhost2,2,2026-07-06T20:25:19,11.023,0.8762556101731156
1,wrr,10,0.75,75,188,bhost5,5,2026-07-06T20:25:19,11.023,1.3891857234451854
1,wrr,10,0.75,75,188,bhost8,8,2026-07-06T20:25:19,11.023,0.850520944078248
1,wrr,10,0.75,75,188,bhost3,3,2026-07-06T20:25:19,11.023,1.6410912190963356
1,wrr,10,0.75,75,188,bhost4,4,2026-07-06T20:25:19,11.023,0.9369676320272524
1,wrr,10,0.75,75,188,bhost6,6,2026-07-06T20:25:19,11.023,0.9154779646582956
1,wrr,10,0.75,75,188,bhost7,7,2026-07-06T20:25:24,16.898,1.0418927718688908
1,wrr,10,0.75,75,188,bhost10,10,2026-07-06T20:25:24,16.898,0.48967426016606197
1,wrr,10,0.75,75,188,bhost1,1,2026-07-06T20:25:24,16.898,1.383273036816346
1,wrr,10,0.75,75,188,bhost5,5,2026-07-06T20:25:24,16.898,1.4896786550329888
1,wrr,10,0.75,75,188,bhost9,9,2026-07-06T20:25:24,16.898,1.5737983836665248
1,wrr,10,0.75,75,188,bhost6,6,2026-07-06T20:25:24,16.898,0.8926673751328384
1,wrr,10,0.75,75,188,bhost2,2,2026-07-06T20:25:24,16.898,0.8704883227176219
1,wrr,10,0.75,75,188,bhost8,8,2026-07-06T20:25:24,16.898,0.7651434643995758
1,wrr,10,0.75,75,188,bhost4,4,2026-07-06T20:25:24,16.898,0.9550084889643484
1,wrr,10,0.75,75,188,bhost3,3,2026-07-06T20:25:24,16.898,1.744680851063829
1,wrr,10,0.75,75,188,bhost7,7,2026-07-06T20:25:30,22.799,1.128055149362861
1,wrr,10,0.75,75,188,bhost10,10,2026-07-06T20:25:30,22.799,0.8203618005889757
1,wrr,10,0.75,75,188,bhost1,1,2026-07-06T20:25:30,22.799,1.3956438993444675
1,wrr,10,0.75,75,188,bhost2,2,2026-07-06T20:25:30,22.799,1.0546298249314523
1,wrr,10,0.75,75,188,bhost3,3,2026-07-06T20:25:30,22.799,1.5862944162436499
1,wrr,10,0.75,75,188,bhost6,6,2026-07-06T20:25:30,22.799,0.8440599282549033
1,wrr,10,0.75,75,188,bhost4,4,2026-07-06T20:25:30,22.799,0.9489666807254271
1,wrr,10,0.75,75,188,bhost5,5,2026-07-06T20:25:30,22.799,1.45446880269815
1,wrr,10,0.75,75,188,bhost9,9,2026-07-06T20:25:30,22.799,1.5562565720294463
1,wrr,10,0.75,75,188,bhost8,8,2026-07-06T20:25:30,22.799,0.8412197686645584
1,wrr,10,0.75,75,188,bhost7,7,2026-07-06T20:25:36,28.76,0.9072164948453643
1,wrr,10,0.75,75,188,bhost10,10,2026-07-06T20:25:36,28.76,0.5231388329979825
1,wrr,10,0.75,75,188,bhost1,1,2026-07-06T20:25:36,28.76,1.3945028294260253
1,wrr,10,0.75,75,188,bhost6,6,2026-07-06T20:25:36,28.76,0.8667607337230376
1,wrr,10,0.75,75,188,bhost4,4,2026-07-06T20:25:36,28.76,0.8462623413258097
1,wrr,10,0.75,75,188,bhost2,2,2026-07-06T20:25:36,28.76,0.8252818035426768
1,wrr,10,0.75,75,188,bhost5,5,2026-07-06T20:25:36,28.76,1.4771347632537402
1,wrr,10,0.75,75,188,bhost9,9,2026-07-06T20:25:36,28.76,1.6161616161616155
1,wrr,10,0.75,75,188,bhost3,3,2026-07-06T20:25:36,28.76,1.591458501208698
1,wrr,10,0.75,75,188,bhost8,8,2026-07-06T20:25:36,28.76,0.8272800645682032
1,wrr,10,0.75,75,188,bhost7,7,2026-07-06T20:25:43,34.974,1.1299435028248594
1,wrr,10,0.75,75,188,bhost10,10,2026-07-06T20:25:43,34.974,0.7685738684884758
1,wrr,10,0.75,75,188,bhost2,2,2026-07-06T20:25:43,34.974,1.0890454836643193
1,wrr,10,0.75,75,188,bhost5,5,2026-07-06T20:25:43,34.974,1.4982876712328785
1,wrr,10,0.75,75,188,bhost6,6,2026-07-06T20:25:43,34.974,1.0878839590443667
1,wrr,10,0.75,75,188,bhost1,1,2026-07-06T20:25:43,34.974,1.4081502026882853
1,wrr,10,0.75,75,188,bhost9,9,2026-07-06T20:25:43,34.974,1.4316239316239265
1,wrr,10,0.75,75,188,bhost4,4,2026-07-06T20:25:43,34.974,1.0864933958244616
1,wrr,10,0.75,75,188,bhost8,8,2026-07-06T20:25:43,34.974,0.8949499254208404
1,wrr,10,0.75,75,188,bhost3,3,2026-07-06T20:25:43,34.974,1.8123667377398678
1,wrr,10,0.75,75,188,bhost7,7,2026-07-06T20:25:48,40.852,1.3263157894736866
1,wrr,10,0.75,75,188,bhost10,10,2026-07-06T20:25:48,40.852,0.6544226303567657
1,wrr,10,0.75,75,188,bhost1,1,2026-07-06T20:25:48,40.852,1.3590995965173103
1,wrr,10,0.75,75,188,bhost5,5,2026-07-06T20:25:48,40.852,1.520912547528519
1,wrr,10,0.75,75,188,bhost6,6,2026-07-06T20:25:48,40.852,0.8646140868831753
1,wrr,10,0.75,75,188,bhost2,2,2026-07-06T20:25:48,40.852,0.9064080944350739
1,wrr,10,0.75,75,188,bhost3,3,2026-07-06T20:25:48,40.852,1.544973544973549
1,wrr,10,0.75,75,188,bhost9,9,2026-07-06T20:25:48,40.852,1.6081252644942867
1,wrr,10,0.75,75,188,bhost4,4,2026-07-06T20:25:48,40.852,0.9513742071881603
1,wrr,10,0.75,75,188,bhost8,8,2026-07-06T20:25:48,40.852,0.8243500317057673
1,wrr,10,0.75,75,188,bhost7,7,2026-07-06T20:25:54,46.787,0.9421841541755849
1,wrr,10,0.75,75,188,bhost10,10,2026-07-06T20:25:54,46.787,0.5800214822771266
1,wrr,10,0.75,75,188,bhost1,1,2026-07-06T20:25:54,46.787,1.5729368670545196
1,wrr,10,0.75,75,188,bhost2,2,2026-07-06T20:25:54,46.787,0.9233412067854885
1,wrr,10,0.75,75,188,bhost8,8,2026-07-06T20:25:54,46.787,0.9219554030874821
1,wrr,10,0.75,75,188,bhost3,3,2026-07-06T20:25:54,46.787,1.4595406739643657
1,wrr,10,0.75,75,188,bhost6,6,2026-07-06T20:25:54,46.787,0.898587933247752
1,wrr,10,0.75,75,188,bhost5,5,2026-07-06T20:25:54,46.787,1.204042141474948
1,wrr,10,0.75,75,188,bhost9,9,2026-07-06T20:25:54,46.787,1.5453960077269846
1,wrr,10,0.75,75,188,bhost4,4,2026-07-06T20:25:54,46.787,1.0057778728867928
1,wrr,10,0.75,75,188,bhost7,7,2026-07-06T20:26:00,52.644,1.0168758113370813
1,wrr,10,0.75,75,188,bhost10,10,2026-07-06T20:26:00,52.644,0.6662368364496074
1,wrr,10,0.75,75,188,bhost1,1,2026-07-06T20:26:00,52.644,1.1863675582398647
1,wrr,10,0.75,75,188,bhost2,2,2026-07-06T20:26:00,52.644,1.0107526881720452
1,wrr,10,0.75,75,188,bhost3,3,2026-07-06T20:26:00,52.644,1.6191709844559532
1,wrr,10,0.75,75,188,bhost4,4,2026-07-06T20:26:00,52.644,0.9053675361069158
1,wrr,10,0.75,75,188,bhost6,6,2026-07-06T20:26:00,52.644,0.7970702283498499
1,wrr,10,0.75,75,188,bhost8,8,2026-07-06T20:26:00,52.644,0.947051226861817
1,wrr,10,0.75,75,188,bhost5,5,2026-07-06T20:26:00,52.644,1.5530629853321876
1,wrr,10,0.75,75,188,bhost9,9,2026-07-06T20:26:00,52.644,1.6393442622950838
1,wrr,10,0.75,75,188,bhost7,7,2026-07-06T20:26:06,58.466,1.0958315427589183
1,wrr,10,0.75,75,188,bhost10,10,2026-07-06T20:26:06,58.466,0.49187339606501235
1,wrr,10,0.75,75,188,bhost1,1,2026-07-06T20:26:06,58.466,1.3519313304721003
1,wrr,10,0.75,75,188,bhost2,2,2026-07-06T20:26:06,58.466,0.9623609923011145
1,wrr,10,0.75,75,188,bhost4,4,2026-07-06T20:26:06,58.466,0.9831160504381264
1,wrr,10,0.75,75,188,bhost5,5,2026-07-06T20:26:06,58.466,1.6046213093709905
1,wrr,10,0.75,75,188,bhost3,3,2026-07-06T20:26:06,58.466,1.7498932991890759
1,wrr,10,0.75,75,188,bhost6,6,2026-07-06T20:26:06,58.466,0.8550662676357401
1,wrr,10,0.75,75,188,bhost8,8,2026-07-06T20:26:06,58.466,0.8556149732620311
1,wrr,10,0.75,75,188,bhost9,9,2026-07-06T20:26:06,58.466,1.391267123287676
1,wrr,10,0.75,75,188,bhost7,7,2026-07-06T20:26:12,64.335,0.9652509652509633
1,wrr,10,0.75,75,188,bhost10,10,2026-07-06T20:26:12,64.335,0.7672634271099765
1,wrr,10,0.75,75,188,bhost3,3,2026-07-06T20:26:12,64.335,1.6537800687285276
1,wrr,10,0.75,75,188,bhost1,1,2026-07-06T20:26:12,64.335,1.3487475915221592
1,wrr,10,0.75,75,188,bhost4,4,2026-07-06T20:26:12,64.335,0.9415792852557225
1,wrr,10,0.75,75,188,bhost6,6,2026-07-06T20:26:12,64.335,0.9835364549925174
1,wrr,10,0.75,75,188,bhost9,9,2026-07-06T20:26:12,64.335,1.4800514800514808
1,wrr,10,0.75,75,188,bhost2,2,2026-07-06T20:26:12,64.335,0.9601024109238354
1,wrr,10,0.75,75,188,bhost8,8,2026-07-06T20:26:12,64.335,0.9320059309468331
1,wrr,10,0.75,75,188,bhost5,5,2026-07-06T20:26:12,64.335,1.437936138718543
1,wrr,10,0.75,75,188,bhost7,7,2026-07-06T20:26:18,70.279,0.9934474741069566
1,wrr,10,0.75,75,188,bhost1,1,2026-07-06T20:26:18,70.279,1.2736149437486688
1,wrr,10,0.75,75,188,bhost5,5,2026-07-06T20:26:18,70.279,1.5513897866838988
1,wrr,10,0.75,75,188,bhost2,2,2026-07-06T20:26:18,70.279,1.014799154334034
1,wrr,10,0.75,75,188,bhost3,3,2026-07-06T20:26:18,70.279,1.544973544973549
1,wrr,10,0.75,75,188,bhost4,4,2026-07-06T20:26:18,70.279,0.8250475988999417
1,wrr,10,0.75,75,188,bhost10,10,2026-07-06T20:26:18,70.279,0.799831614396973
1,wrr,10,0.75,75,188,bhost8,8,2026-07-06T20:26:18,70.279,0.917431192660545
1,wrr,10,0.75,75,188,bhost9,9,2026-07-06T20:26:18,70.279,1.4593908629441654
1,wrr,10,0.75,75,188,bhost6,6,2026-07-06T20:26:18,70.279,0.8227848101265867
1,wrr,10,0.75,75,188,bhost7,7,2026-07-06T20:26:24,76.131,1.1719582356701452
1,wrr,10,0.75,75,188,bhost10,10,2026-07-06T20:26:24,76.131,0.8805841924398594
1,wrr,10,0.75,75,188,bhost1,1,2026-07-06T20:26:24,76.131,1.5213199057210192
1,wrr,10,0.75,75,188,bhost3,3,2026-07-06T20:26:24,76.131,1.3339070567986222
1,wrr,10,0.75,75,188,bhost2,2,2026-07-06T20:26:24,76.131,0.8995502248875575
1,wrr,10,0.75,75,188,bhost4,4,2026-07-06T20:26:24,76.131,0.8991650610147728
1,wrr,10,0.75,75,188,bhost6,6,2026-07-06T20:26:24,76.131,0.9869126796824723
1,wrr,10,0.75,75,188,bhost8,8,2026-07-06T20:26:24,76.131,0.9030316061062083
1,wrr,10,0.75,75,188,bhost9,9,2026-07-06T20:26:24,76.131,1.5907136715391235
1,wrr,10,0.75,75,188,bhost5,5,2026-07-06T20:26:24,76.131,1.394251394251389
1,wrr,10,0.75,75,188,bhost7,7,2026-07-06T20:26:30,81.972,1.2173913043478257
1,wrr,10,0.75,75,188,bhost1,1,2026-07-06T20:26:30,81.972,1.4394765539803678
1,wrr,10,0.75,75,188,bhost10,10,2026-07-06T20:26:30,81.972,0.6724511930585653
1,wrr,10,0.75,75,188,bhost2,2,2026-07-06T20:26:30,81.972,0.7810804946843164
1,wrr,10,0.75,75,188,bhost6,6,2026-07-06T20:26:30,81.972,0.824652777777779
1,wrr,10,0.75,75,188,bhost3,3,2026-07-06T20:26:30,81.972,1.4108964619057973
1,wrr,10,0.75,75,188,bhost5,5,2026-07-06T20:26:30,81.972,1.563178462874515
1,wrr,10,0.75,75,188,bhost9,9,2026-07-06T20:26:30,81.972,1.5414676508901382
1,wrr,10,0.75,75,188,bhost4,4,2026-07-06T20:26:30,81.972,0.9303331890956335
1,wrr,10,0.75,75,188,bhost8,8,2026-07-06T20:26:30,81.972,0.8646779074794608
1,wrr,10,0.75,75,188,bhost7,7,2026-07-06T20:26:35,87.768,1.0396774877997061
1,wrr,10,0.75,75,188,bhost10,10,2026-07-06T20:26:35,87.768,0.6158420046719071
1,wrr,10,0.75,75,188,bhost1,1,2026-07-06T20:26:35,87.768,1.378579003181335
1,wrr,10,0.75,75,188,bhost2,2,2026-07-06T20:26:35,87.768,1.100762066045724
1,wrr,10,0.75,75,188,bhost8,8,2026-07-06T20:26:35,87.768,0.8930469912821648
1,wrr,10,0.75,75,188,bhost4,4,2026-07-06T20:26:35,87.768,0.8697496817988926
1,wrr,10,0.75,75,188,bhost6,6,2026-07-06T20:26:35,87.768,0.9314140558848383
1,wrr,10,0.75,75,188,bhost5,5,2026-07-06T20:26:35,87.768,1.5707917639567026
1,wrr,10,0.75,75,188,bhost9,9,2026-07-06T20:26:35,87.768,1.4446568939876725
1,wrr,10,0.75,75,188,bhost3,3,2026-07-06T20:26:35,87.768,1.505832449628841
1,wrr,10,0.75,75,188,bhost7,7,2026-07-06T20:26:41,93.676,1.264195414613245
1,wrr,10,0.75,75,188,bhost10,10,2026-07-06T20:26:41,93.676,0.6419858763107245
1,wrr,10,0.75,75,188,bhost1,1,2026-07-06T20:26:41,93.676,1.4190496667383368
1,wrr,10,0.75,75,188,bhost4,4,2026-07-06T20:26:41,93.676,0.923936398796732
1,wrr,10,0.75,75,188,bhost9,9,2026-07-06T20:26:41,93.676,1.5047291487532255
1,wrr,10,0.75,75,188,bhost6,6,2026-07-06T20:26:41,93.676,0.8802060970373504
1,wrr,10,0.75,75,188,bhost3,3,2026-07-06T20:26:41,93.676,1.6094420600858417
1,wrr,10,0.75,75,188,bhost5,5,2026-07-06T20:26:41,93.676,1.5034364261168331
1,wrr,10,0.75,75,188,bhost2,2,2026-07-06T20:26:41,93.676,0.876442924326637
1,wrr,10,0.75,75,188,bhost8,8,2026-07-06T20:26:41,93.676,0.9213627598028684
1,wrr,10,0.75,75,188,bhost7,7,2026-07-06T20:26:47,99.525,1.0958315427589183
1,wrr,10,0.75,75,188,bhost10,10,2026-07-06T20:26:47,99.525,0.6444683136412444
1,wrr,10,0.75,75,188,bhost1,1,2026-07-06T20:26:47,99.525,1.3990529487731385
1,wrr,10,0.75,75,188,bhost3,3,2026-07-06T20:26:47,99.525,1.487710219922378
1,wrr,10,0.75,75,188,bhost9,9,2026-07-06T20:26:47,99.525,1.3370713823592895
1,wrr,10,0.75,75,188,bhost5,5,2026-07-06T20:26:47,99.525,1.3799051315222077
1,wrr,10,0.75,75,188,bhost2,2,2026-07-06T20:26:47,99.525,0.8172043010752694
1,wrr,10,0.75,75,188,bhost8,8,2026-07-06T20:26:47,99.525,0.9888220120378377
1,wrr,10,0.75,75,188,bhost4,4,2026-07-06T20:26:47,99.525,0.8574490889603381
1,wrr,10,0.75,75,188,bhost6,6,2026-07-06T20:26:47,99.525,0.7530120481927693
1,wrr,10,0.75,75,188,bhost7,7,2026-07-06T20:26:53,105.36,1.0101010101010055
1,wrr,10,0.75,75,188,bhost1,1,2026-07-06T20:26:53,105.36,1.2666380420781498
1,wrr,10,0.75,75,188,bhost3,3,2026-07-06T20:26:53,105.36,1.587982832618029
1,wrr,10,0.75,75,188,bhost10,10,2026-07-06T20:26:53,105.36,0.6615450277422164
1,wrr,10,0.75,75,188,bhost6,6,2026-07-06T20:26:53,105.36,0.9440034327397595
1,wrr,10,0.75,75,188,bhost2,2,2026-07-06T20:26:53,105.36,0.9621552277100709
1,wrr,10,0.75,75,188,bhost9,9,2026-07-06T20:26:53,105.36,1.5618314077877615
1,wrr,10,0.75,75,188,bhost4,4,2026-07-06T20:26:53,105.36,1.0042735042735007
1,wrr,10,0.75,75,188,bhost8,8,2026-07-06T20:26:53,105.36,0.8344030808729141
1,wrr,10,0.75,75,188,bhost5,5,2026-07-06T20:26:53,105.36,1.7126953543138534
1,wrr,10,0.75,75,188,bhost7,7,2026-07-06T20:26:59,111.224,1.2948418594778133
1,wrr,10,0.75,75,188,bhost10,10,2026-07-06T20:26:59,111.224,0.8236536430834218
1,wrr,10,0.75,75,188,bhost1,1,2026-07-06T20:26:59,111.224,1.3750793314998955
1,wrr,10,0.75,75,188,bhost3,3,2026-07-06T20:26:59,111.224,1.4161910801099187
1,wrr,10,0.75,75,188,bhost2,2,2026-07-06T20:26:59,111.224,0.9087066779374431
1,wrr,10,0.75,75,188,bhost5,5,2026-07-06T20:26:59,111.224,1.6108520559559136
1,wrr,10,0.75,75,188,bhost9,9,2026-07-06T20:26:59,111.224,1.5234870926787991
1,wrr,10,0.75,75,188,bhost8,8,2026-07-06T20:26:59,111.224,0.8028734417916739
