phase,algo,servers,load_frac,load_pct,target_qps,workers,duration_s,started,ended,total_responses,ok_responses,error_responses,error_pct,response_qps,error_qps,p50_us,p90_us,p99_us,p99_9_us,avg_us,status_dist
1,wrr,10,0.75,75,188,15,240,2026-07-06T20:25:08,2026-07-06T20:29:09,45120,45120,0,0,188,0,37900,50900,89500,102600,30258.9760638,"{""200"": 45120}"
2,prequal,10,0.75,75,188,15,240,2026-07-06T20:29:09,2026-07-06T20:33:11,45120,45120,0,0,188,0,11900,15700,55100,93800,15104.4614362,"{""200"": 45120}"
3,wrr,10,0.83,83,208,15,240,2026-07-06T20:33:11,2026-07-06T20:37:13,49920,49920,0,0,208,0,14100,51400,88900,101800,30051.2860577,"{""200"": 49920}"
4,prequal,10,0.83,83,208,15,240,2026-07-06T20:37:13,2026-07-06T20:41:15,49920,49920,0,0,208,0,11900,15700,55500,93000,15087.2996795,"{""200"": 49920}"
5,wrr,10,0.93,93,232,15,240,2026-07-06T20:41:15,2026-07-06T20:45:17,55662,55661,1,0.00179655779526,231.925,0.00416666666667,37300,53400,89400,107900,30655.4992634,"{""200"": 55661, ""503"": 1}"
6,prequal,10,0.93,93,232,15,240,2026-07-06T20:45:18,2026-07-06T20:49:19,55673,55673,0,0,231.970833333,0,11900,16100,58900,94400,15243.8758465,"{""200"": 55673}"
7,wrr,10,1.03,103,258,15,240,2026-07-06T20:49:20,2026-07-06T20:53:22,61798,61796,2,0.00323635069096,257.491666667,0.00833333333333,37900,56800,90000,113500,31029.1837924,"{""200"": 61796, ""503"": 2}"
8,prequal,10,1.03,103,258,15,240,2026-07-06T20:53:22,2026-07-06T20:57:24,61902,61901,1,0.00161545668961,257.925,0.00416666666667,11900,15900,58200,94900,15242.5818229,"{""200"": 61901, ""503"": 1}"
9,wrr,10,1.14,114,285,15,240,2026-07-06T20:57:25,2026-07-06T21:01:27,67902,67901,1,0.00147271067126,282.925,0.00416666666667,38000,60300,91500,119000,31379.6986834,"{""200"": 67901, ""503"": 1}"
10,prequal,10,1.14,114,285,15,240,2026-07-06T21:01:27,2026-07-06T21:05:30,68377,68377,0,0,284.904166667,0,11900,15700,54800,93700,15033.7540401,"{""200"": 68377}"
11,wrr,10,1.27,127,318,15,240,2026-07-06T21:05:30,2026-07-06T21:09:33,74702,74697,5,0.0066932612246,311.258333333,0.0208333333333,37500,64400,93400,123100,32101.8031646,"{""200"": 74697, ""503"": 5}"
12,prequal,10,1.27,127,318,15,240,2026-07-06T21:09:33,2026-07-06T21:13:36,76294,76294,0,0,317.891666667,0,11800,14700,50200,88900,13328.8200907,"{""200"": 76294}"
13,wrr,10,1.41,141,352,15,240,2026-07-06T21:13:36,2026-07-06T21:17:39,78875,78853,22,0.0278922345483,328.645833333,0.0916666666667,14200,63800,97200,125000,33408.6339144,"{""200"": 78853, ""503"": 22}"
14,prequal,10,1.41,141,352,15,240,2026-07-06T21:17:39,2026-07-06T21:21:42,84480,84480,0,0,352,0,11800,14500,16400,43500,11909.6330492,"{""200"": 84480}"
15,wrr,10,1.57,157,392,15,240,2026-07-06T21:21:43,2026-07-06T21:25:46,84081,84058,23,0.0273545747553,350.3375,0.0958333333333,12600,66400,101000,126300,33257.9096348,"{""200"": 84058, ""503"": 23}"
16,prequal,10,1.57,157,392,15,240,2026-07-06T21:25:46,2026-07-06T21:29:49,94080,94080,0,0,392,0,12100,14900,16700,17800,12121.6932398,"{""200"": 94080}"
17,wrr,10,1.74,174,435,15,240,2026-07-06T21:29:50,2026-07-06T21:33:53,90890,90870,20,0.0220046209704,378.708333333,0.0833333333333,12100,63300,96500,122400,30838.8337551,"{""200"": 90870, ""503"": 20}"
18,prequal,10,1.74,174,435,15,240,2026-07-06T21:33:54,2026-07-06T21:37:57,104400,104400,0,0,435,0,12100,14900,16700,17900,12141.2557471,"{""200"": 104400}"
