phase,algo,servers,load_frac,load_pct,target_qps,workers,duration_s,started,ended,command,returncode,total_responses,ok_responses,error_responses,error_pct,response_qps,error_qps,p50_us,p90_us,p99_us,p99_9_us,avg_us,status_dist
1,wrr,5,0.75,75,94,8,240,2026-07-06T19:11:46,2026-07-06T19:15:47,hey -z 240s -q 11.7500 -c 8 -o csv http://localhost:8081,0,22560,22560,0,0.0,94.0,0.0,42000.0,51200.0,89900.0,97400.0,33806.57358156028,"{""200"": 22560}"
2,prequal,5,0.75,75,94,8,240,2026-07-06T19:15:47,2026-07-06T19:19:48,hey -z 240s -q 11.7500 -c 8 -o csv http://localhost:8080,0,22560,22560,0,0.0,94.0,0.0,12000.0,14400.0,16700.0,90700.0,12411.445035460993,"{""200"": 22560}"
3,wrr,5,0.83,83,104,8,240,2026-07-06T19:19:48,2026-07-06T19:23:49,hey -z 240s -q 13.0000 -c 8 -o csv http://localhost:8081,0,24960,24960,0,0.0,104.0,0.0,42100.0,53600.0,89300.0,96500.0,34216.91907051282,"{""200"": 24960}"
4,prequal,5,0.83,83,104,8,240,2026-07-06T19:23:49,2026-07-06T19:27:50,hey -z 240s -q 13.0000 -c 8 -o csv http://localhost:8080,0,24960,24960,0,0.0,104.0,0.0,12000.0,14500.0,16900.0,88300.0,12443.645833333334,"{""200"": 24960}"
5,wrr,5,0.93,93,116,8,240,2026-07-06T19:27:50,2026-07-06T19:31:51,hey -z 240s -q 14.5000 -c 8 -o csv http://localhost:8081,0,27837,27837,0,0.0,115.9875,0.0,42000.0,58100.0,89900.0,101800.0,34323.580127168876,"{""200"": 27837}"
6,prequal,5,0.93,93,116,8,240,2026-07-06T19:31:51,2026-07-06T19:35:52,hey -z 240s -q 14.5000 -c 8 -o csv http://localhost:8080,0,27839,27839,0,0.0,115.99583333333334,0.0,12000.0,14500.0,16500.0,85200.0,12343.10499658752,"{""200"": 27839}"
7,wrr,5,1.03,103,129,8,240,2026-07-06T19:35:53,2026-07-06T19:39:54,hey -z 240s -q 16.1250 -c 8 -o csv http://localhost:8081,0,30952,30952,0,0.0,128.96666666666667,0.0,42100.0,59600.0,89600.0,99700.0,34513.38847247351,"{""200"": 30952}"
8,prequal,5,1.03,103,129,8,240,2026-07-06T19:39:54,2026-07-06T19:43:55,hey -z 240s -q 16.1250 -c 8 -o csv http://localhost:8080,0,30949,30949,0,0.0,128.95416666666668,0.0,12000.0,14500.0,42300.0,91200.0,12584.451840124075,"{""200"": 30949}"
9,wrr,5,1.14,114,142,8,240,2026-07-06T19:43:55,2026-07-06T19:47:56,hey -z 240s -q 17.7500 -c 8 -o csv http://localhost:8081,0,33961,33961,0,0.0,141.50416666666666,0.0,42100.0,62700.00000000001,89700.0,106200.0,34919.95524277848,"{""200"": 33961}"
10,prequal,5,1.14,114,142,8,240,2026-07-06T19:47:57,2026-07-06T19:51:58,hey -z 240s -q 17.7500 -c 8 -o csv http://localhost:8080,0,34069,34069,0,0.0,141.95416666666668,0.0,12100.0,14500.0,42800.0,90400.0,12619.689453755613,"{""200"": 34069}"
11,wrr,5,1.27,127,159,8,240,2026-07-06T19:51:58,2026-07-06T19:55:59,hey -z 240s -q 19.8750 -c 8 -o csv http://localhost:8081,0,37602,37602,0,0.0,156.675,0.0,42400.0,66000.0,91300.0,113100.0,35635.91298335195,"{""200"": 37602}"
12,prequal,5,1.27,127,159,8,240,2026-07-06T19:56:00,2026-07-06T20:00:01,hey -z 240s -q 19.8750 -c 8 -o csv http://localhost:8080,0,38157,38157,0,0.0,158.9875,0.0,12100.0,14500.0,16900.0,87000.0,12461.93621091805,"{""200"": 38157}"
13,wrr,5,1.41,141,176,8,240,2026-07-06T20:00:01,2026-07-06T20:04:03,hey -z 240s -q 22.0000 -c 8 -o csv http://localhost:8081,0,40434,40434,0,0.0,168.475,0.0,42400.0,68200.0,91500.0,117400.0,35780.039076025125,"{""200"": 40434}"
14,prequal,5,1.41,141,176,8,240,2026-07-06T20:04:03,2026-07-06T20:08:04,hey -z 240s -q 22.0000 -c 8 -o csv http://localhost:8080,0,42233,42233,0,0.0,175.97083333333333,0.0,12000.0,14400.0,16100.0,55000.0,12177.119787843629,"{""200"": 42233}"
15,wrr,5,1.57,157,196,8,240,2026-07-06T20:08:05,2026-07-06T20:12:06,hey -z 240s -q 24.5000 -c 8 -o csv http://localhost:8081,0,42237,42235,2,0.004735184790586453,175.9875,0.008333333333333333,42500.0,68500.0,96100.0,118900.0,36200.03314786315,"{""200"": 42235, ""503"": 2}"
16,prequal,5,1.57,157,196,8,240,2026-07-06T20:12:06,2026-07-06T20:16:08,hey -z 240s -q 24.5000 -c 8 -o csv http://localhost:8080,0,47036,47036,0,0.0,195.98333333333332,0.0,11900.0,14300.0,15800.000000000002,17000.0,11934.486350880177,"{""200"": 47036}"
17,wrr,5,1.74,174,218,8,240,2026-07-06T20:16:08,2026-07-06T20:20:10,hey -z 240s -q 27.2500 -c 8 -o csv http://localhost:8081,0,45802,45802,0,0.0,190.84166666666667,0.0,40900.0,65000.0,91200.0,114500.0,33496.04165756954,"{""200"": 45802}"
18,prequal,5,1.74,174,218,8,240,2026-07-06T20:20:10,2026-07-06T20:24:12,hey -z 240s -q 27.2500 -c 8 -o csv http://localhost:8080,0,52320,52320,0,0.0,218.0,0.0,11800.0,14200.0,15699.999999999998,16800.0,11829.088302752294,"{""200"": 52320}"
