phase,algo,servers,load_frac,load_pct,target_qps,workers,duration_s,started,ended,total_responses,ok_responses,error_responses,error_pct,response_qps,error_qps,p50_us,p90_us,p99_us,p99_9_us,avg_us,status_dist
1,wrr,5,0.75,75,94,8,240,2026-07-06T19:11:46,2026-07-06T19:15:47,22560,22560,0,0,94,0,42000,51200,89900,97400,33806.5735816,"{""200"": 22560}"
2,prequal,5,0.75,75,94,8,240,2026-07-06T19:15:47,2026-07-06T19:19:48,22560,22560,0,0,94,0,12000,14400,16700,90700,12411.4450355,"{""200"": 22560}"
3,wrr,5,0.83,83,104,8,240,2026-07-06T19:19:48,2026-07-06T19:23:49,24960,24960,0,0,104,0,42100,53600,89300,96500,34216.9190705,"{""200"": 24960}"
4,prequal,5,0.83,83,104,8,240,2026-07-06T19:23:49,2026-07-06T19:27:50,24960,24960,0,0,104,0,12000,14500,16900,88300,12443.6458333,"{""200"": 24960}"
5,wrr,5,0.93,93,116,8,240,2026-07-06T19:27:50,2026-07-06T19:31:51,27837,27837,0,0,115.9875,0,42000,58100,89900,101800,34323.5801272,"{""200"": 27837}"
6,prequal,5,0.93,93,116,8,240,2026-07-06T19:31:51,2026-07-06T19:35:52,27839,27839,0,0,115.995833333,0,12000,14500,16500,85200,12343.1049966,"{""200"": 27839}"
7,wrr,5,1.03,103,129,8,240,2026-07-06T19:35:53,2026-07-06T19:39:54,30952,30952,0,0,128.966666667,0,42100,59600,89600,99700,34513.3884725,"{""200"": 30952}"
8,prequal,5,1.03,103,129,8,240,2026-07-06T19:39:54,2026-07-06T19:43:55,30949,30949,0,0,128.954166667,0,12000,14500,42300,91200,12584.4518401,"{""200"": 30949}"
9,wrr,5,1.14,114,142,8,240,2026-07-06T19:43:55,2026-07-06T19:47:56,33961,33961,0,0,141.504166667,0,42100,62700,89700,106200,34919.9552428,"{""200"": 33961}"
10,prequal,5,1.14,114,142,8,240,2026-07-06T19:47:57,2026-07-06T19:51:58,34069,34069,0,0,141.954166667,0,12100,14500,42800,90400,12619.6894538,"{""200"": 34069}"
11,wrr,5,1.27,127,159,8,240,2026-07-06T19:51:58,2026-07-06T19:55:59,37602,37602,0,0,156.675,0,42400,66000,91300,113100,35635.9129834,"{""200"": 37602}"
12,prequal,5,1.27,127,159,8,240,2026-07-06T19:56:00,2026-07-06T20:00:01,38157,38157,0,0,158.9875,0,12100,14500,16900,87000,12461.9362109,"{""200"": 38157}"
13,wrr,5,1.41,141,176,8,240,2026-07-06T20:00:01,2026-07-06T20:04:03,40434,40434,0,0,168.475,0,42400,68200,91500,117400,35780.039076,"{""200"": 40434}"
14,prequal,5,1.41,141,176,8,240,2026-07-06T20:04:03,2026-07-06T20:08:04,42233,42233,0,0,175.970833333,0,12000,14400,16100,55000,12177.1197878,"{""200"": 42233}"
15,wrr,5,1.57,157,196,8,240,2026-07-06T20:08:05,2026-07-06T20:12:06,42237,42235,2,0.00473518479059,175.9875,0.00833333333333,42500,68600,96200,119100,36435.0782489,"{""200"": 42235, ""503"": 2}"
16,prequal,5,1.57,157,196,8,240,2026-07-06T20:12:06,2026-07-06T20:16:08,47036,47036,0,0,195.983333333,0,11900,14300,15800,17000,11934.4863509,"{""200"": 47036}"
17,wrr,5,1.74,174,218,8,240,2026-07-06T20:16:08,2026-07-06T20:20:10,45802,45802,0,0,190.841666667,0,40900,65000,91200,114500,33496.0416576,"{""200"": 45802}"
18,prequal,5,1.74,174,218,8,240,2026-07-06T20:20:10,2026-07-06T20:24:12,52320,52320,0,0,218,0,11800,14200,15700,16800,11829.0883028,"{""200"": 52320}"
